field	value	source
plot_name	Operating Point	raw header
encoding	binary	raw header
numeric_type	real	raw header
variable_count	360	raw header and independent binary parse
point_count	1	raw header and independent binary parse
numeric_scalar_count	360	360 variables x 1 point
finite_scalar_count	360	independent binary parse
nonfinite_scalar_count	0	independent binary parse
native_thermal_warning_count	1	complete native log
openada_solver_warning_count	0	openada-result.public.json
openada_assertion_evaluated	false	preflight.public.json
div2_p_V	1.52836127822571965e+00	v(div2_p)
div2_n_V	1.52836127822582757e+00	v(div2_n)
div2_p_minus_div2_n_V	-1.07913677993565216e-13	derived from raw vectors
master_active_clock_ic_A	1.95433260614587745e-03	i(@q.xdiv2.xqclk_track_m.qnpn13g2[ic])
master_tail_ic_A	1.95817316775317128e-03	i(@q.xdiv2.xqs_comp_m.qnpn13g2[ic])
master_clock_ic_over_tail_ic_pct	99.80387017499068	derived from raw vectors
master_active_clock_vce_V	3.89005211732974976e-01	v(xdiv2.e_track_m)-v(xdiv2.e_tail_m)
baseline_master_active_clock_vce_V	1.97439230210257222e-01	baseline raw 3fa949247867fc037c1c2819241f87edff0be22c57e0a8c1aedfa42c96a9458b
master_active_clock_vce_delta_V	1.91565981522717754e-01	no-bleed minus baseline
project_engineering_status	unknown	warning and model-range exceptions retained; function untested
