assertion_id	source_file	source_sha256	physical_line	source_literal	branch_guard	row_node	column_node	contribution_expression	upstream_symbol
ALLOC_TEMPNODE_FIELD	vbicdefs.h	0185f8162e02de0cf9c332bbc827d6e43af9a1c494e8e86642b2d7d8ec57ef9b	55	    const int VBICtempNode;  /* number of the temperature node of the vbic */	instance struct declaration	N/A	N/A	const int VBICtempNode; /* number of the temperature node of the vbic */	VBICinstance struct
ALLOC_QCTH_STATE	vbicdefs.h	0185f8162e02de0cf9c332bbc827d6e43af9a1c494e8e86642b2d7d8ec57ef9b	510	#define VBICqcth      VBICstate+67 /* thermal capacitor charge */	state macro block	N/A	N/A	#define VBICqcth VBICstate+67 /* thermal capacitor charge */	state offset 67
ALLOC_CQCTH_STATE	vbicdefs.h	0185f8162e02de0cf9c332bbc827d6e43af9a1c494e8e86642b2d7d8ec57ef9b	511	#define VBICcqcth     VBICstate+68 /* thermal capacitor current */	state macro block	N/A	N/A	#define VBICcqcth VBICstate+68 /* thermal capacitor current */	state offset 68
ALLOC_ICTHVRTH_STATE	vbicdefs.h	0185f8162e02de0cf9c332bbc827d6e43af9a1c494e8e86642b2d7d8ec57ef9b	514	#define VBICicth_Vrth VBICstate+70	state macro block	N/A	N/A	#define VBICicth_Vrth VBICstate+70	state offset 70
ALLOC_CAPCTH_FIELD	vbicdefs.h	0185f8162e02de0cf9c332bbc827d6e43af9a1c494e8e86642b2d7d8ec57ef9b	274	    double VBICcapcth;	instance struct field	N/A	N/A	double VBICcapcth;	VBICinstance struct
ALLOC_STATE_BASE	vbicsetup.c	f711c83cb3811d4a0fad08a2d16fbe79416886330417b4c26b3c4f46a5483d79	407	            here->VBICstate = *states;	VBICsetup instance setup	N/A	N/A	here->VBICstate = *states;	circuit state array cursor
ALLOC_STATE_SLOTS	vbicsetup.c	f711c83cb3811d4a0fad08a2d16fbe79416886330417b4c26b3c4f46a5483d79	408	            *states += VBICnumStates;	VBICsetup instance setup	N/A	N/A	*states += VBICnumStates;	VBICnumStates = 86
ALLOC_SELFHEAT_GUARD	vbicsetup.c	f711c83cb3811d4a0fad08a2d16fbe79416886330417b4c26b3c4f46a5483d79	584	            if (here->VBIC_selfheat) {	matrix allocation section	N/A	N/A	if (here->VBIC_selfheat) {	here->VBIC_selfheat flag
ALLOC_TSTALLOC_01	vbicsetup.c	f711c83cb3811d4a0fad08a2d16fbe79416886330417b4c26b3c4f46a5483d79	585	                TSTALLOC(VBICcollTempPtr,VBICcollNode,VBICtempNode);	if (here->VBIC_selfheat) allocation block (lines 584-611)	VBICcollNode	VBICtempNode	SMPmakeElt(matrix, VBICcollNode, VBICtempNode)	sparse matrix element VBICcollTempPtr (temp-col)
ALLOC_TSTALLOC_02	vbicsetup.c	f711c83cb3811d4a0fad08a2d16fbe79416886330417b4c26b3c4f46a5483d79	586	                TSTALLOC(VBICbaseTempPtr,VBICbaseNode,VBICtempNode);	if (here->VBIC_selfheat) allocation block (lines 584-611)	VBICbaseNode	VBICtempNode	SMPmakeElt(matrix, VBICbaseNode, VBICtempNode)	sparse matrix element VBICbaseTempPtr (temp-col)
ALLOC_TSTALLOC_03	vbicsetup.c	f711c83cb3811d4a0fad08a2d16fbe79416886330417b4c26b3c4f46a5483d79	587	                TSTALLOC(VBICemitTempPtr,VBICemitNode,VBICtempNode);	if (here->VBIC_selfheat) allocation block (lines 584-611)	VBICemitNode	VBICtempNode	SMPmakeElt(matrix, VBICemitNode, VBICtempNode)	sparse matrix element VBICemitTempPtr (temp-col)
ALLOC_TSTALLOC_04	vbicsetup.c	f711c83cb3811d4a0fad08a2d16fbe79416886330417b4c26b3c4f46a5483d79	588	                TSTALLOC(VBICsubsTempPtr,VBICsubsNode,VBICtempNode);	if (here->VBIC_selfheat) allocation block (lines 584-611)	VBICsubsNode	VBICtempNode	SMPmakeElt(matrix, VBICsubsNode, VBICtempNode)	sparse matrix element VBICsubsTempPtr (temp-col)
ALLOC_TSTALLOC_05	vbicsetup.c	f711c83cb3811d4a0fad08a2d16fbe79416886330417b4c26b3c4f46a5483d79	589	                TSTALLOC(VBICcollCItempPtr,VBICcollCINode,VBICtempNode);	if (here->VBIC_selfheat) allocation block (lines 584-611)	VBICcollCINode	VBICtempNode	SMPmakeElt(matrix, VBICcollCINode, VBICtempNode)	sparse matrix element VBICcollCItempPtr (temp-col)
