assertion_id	source_file	source_sha256	physical_line	source_literal	branch_guard	row_node	column_node	contribution_expression	upstream_symbol	provenance_class
ALLOC_TEMPNODE_FIELD	vbicdefs.h	0185f8162e02de0cf9c332bbc827d6e43af9a1c494e8e86642b2d7d8ec57ef9b	55	    const int VBICtempNode;  /* number of the temperature node of the vbic */	instance struct declaration	N/A	N/A	const int VBICtempNode; /* number of the temperature node of the vbic */	VBICinstance struct	official_base_unchanged
ALLOC_QCTH_STATE	vbicdefs.h	0185f8162e02de0cf9c332bbc827d6e43af9a1c494e8e86642b2d7d8ec57ef9b	510	#define VBICqcth      VBICstate+67 /* thermal capacitor charge */	state macro block	N/A	N/A	#define VBICqcth VBICstate+67 /* thermal capacitor charge */	state offset 67	official_base_unchanged
ALLOC_CQCTH_STATE	vbicdefs.h	0185f8162e02de0cf9c332bbc827d6e43af9a1c494e8e86642b2d7d8ec57ef9b	511	#define VBICcqcth     VBICstate+68 /* thermal capacitor current */	state macro block	N/A	N/A	#define VBICcqcth VBICstate+68 /* thermal capacitor current */	state offset 68	official_base_unchanged
ALLOC_ICTHVRTH_STATE	vbicdefs.h	0185f8162e02de0cf9c332bbc827d6e43af9a1c494e8e86642b2d7d8ec57ef9b	514	#define VBICicth_Vrth VBICstate+70	state macro block	N/A	N/A	#define VBICicth_Vrth VBICstate+70	state offset 70	official_base_unchanged
ALLOC_CAPCTH_FIELD	vbicdefs.h	0185f8162e02de0cf9c332bbc827d6e43af9a1c494e8e86642b2d7d8ec57ef9b	274	    double VBICcapcth;	instance struct field	N/A	N/A	double VBICcapcth;	VBICinstance struct	official_base_unchanged
ALLOC_STATE_BASE	vbicsetup.c	f711c83cb3811d4a0fad08a2d16fbe79416886330417b4c26b3c4f46a5483d79	407	            here->VBICstate = *states;	VBICsetup instance setup	N/A	N/A	here->VBICstate = *states;	circuit state array cursor	official_base_unchanged
ALLOC_STATE_SLOTS	vbicsetup.c	f711c83cb3811d4a0fad08a2d16fbe79416886330417b4c26b3c4f46a5483d79	408	            *states += VBICnumStates;	VBICsetup instance setup	N/A	N/A	*states += VBICnumStates;	VBICnumStates = 86	official_base_unchanged
ALLOC_SELFHEAT_GUARD	vbicsetup.c	f711c83cb3811d4a0fad08a2d16fbe79416886330417b4c26b3c4f46a5483d79	584	            if (here->VBIC_selfheat) {	matrix allocation section	N/A	N/A	if (here->VBIC_selfheat) {	here->VBIC_selfheat flag	official_base_unchanged
ALLOC_TSTALLOC_01	vbicsetup.c	f711c83cb3811d4a0fad08a2d16fbe79416886330417b4c26b3c4f46a5483d79	585	                TSTALLOC(VBICcollTempPtr,VBICcollNode,VBICtempNode);	if (here->VBIC_selfheat) allocation block (lines 584-611)	VBICcollNode	VBICtempNode	SMPmakeElt(matrix, VBICcollNode, VBICtempNode)	sparse matrix element VBICcollTempPtr (temp-col)	official_base_unchanged
ALLOC_TSTALLOC_02	vbicsetup.c	f711c83cb3811d4a0fad08a2d16fbe79416886330417b4c26b3c4f46a5483d79	586	                TSTALLOC(VBICbaseTempPtr,VBICbaseNode,VBICtempNode);	if (here->VBIC_selfheat) allocation block (lines 584-611)	VBICbaseNode	VBICtempNode	SMPmakeElt(matrix, VBICbaseNode, VBICtempNode)	sparse matrix element VBICbaseTempPtr (temp-col)	official_base_unchanged
ALLOC_TSTALLOC_03	vbicsetup.c	f711c83cb3811d4a0fad08a2d16fbe79416886330417b4c26b3c4f46a5483d79	587	                TSTALLOC(VBICemitTempPtr,VBICemitNode,VBICtempNode);	if (here->VBIC_selfheat) allocation block (lines 584-611)	VBICemitNode	VBICtempNode	SMPmakeElt(matrix, VBICemitNode, VBICtempNode)	sparse matrix element VBICemitTempPtr (temp-col)	official_base_unchanged
ALLOC_TSTALLOC_04	vbicsetup.c	f711c83cb3811d4a0fad08a2d16fbe79416886330417b4c26b3c4f46a5483d79	588	                TSTALLOC(VBICsubsTempPtr,VBICsubsNode,VBICtempNode);	if (here->VBIC_selfheat) allocation block (lines 584-611)	VBICsubsNode	VBICtempNode	SMPmakeElt(matrix, VBICsubsNode, VBICtempNode)	sparse matrix element VBICsubsTempPtr (temp-col)	official_base_unchanged
ALLOC_TSTALLOC_05	vbicsetup.c	f711c83cb3811d4a0fad08a2d16fbe79416886330417b4c26b3c4f46a5483d79	589	                TSTALLOC(VBICcollCItempPtr,VBICcollCINode,VBICtempNode);	if (here->VBIC_selfheat) allocation block (lines 584-611)	VBICcollCINode	VBICtempNode	SMPmakeElt(matrix, VBICcollCINode, VBICtempNode)	sparse matrix element VBICcollCItempPtr (temp-col)	official_base_unchanged
ALLOC_TSTALLOC_06	vbicsetup.c	f711c83cb3811d4a0fad08a2d16fbe79416886330417b4c26b3c4f46a5483d79	590	                TSTALLOC(VBICcollCXtempPtr,VBICcollCXNode,VBICtempNode);	if (here->VBIC_selfheat) allocation block (lines 584-611)	VBICcollCXNode	VBICtempNode	SMPmakeElt(matrix, VBICcollCXNode, VBICtempNode)	sparse matrix element VBICcollCXtempPtr (temp-col)	official_base_unchanged
ALLOC_TSTALLOC_07	vbicsetup.c	f711c83cb3811d4a0fad08a2d16fbe79416886330417b4c26b3c4f46a5483d79	591	                TSTALLOC(VBICbaseBItempPtr,VBICbaseBINode,VBICtempNode);	if (here->VBIC_selfheat) allocation block (lines 584-611)	VBICbaseBINode	VBICtempNode	SMPmakeElt(matrix, VBICbaseBINode, VBICtempNode)	sparse matrix element VBICbaseBItempPtr (temp-col)	official_base_unchanged
ALLOC_TSTALLOC_08	vbicsetup.c	f711c83cb3811d4a0fad08a2d16fbe79416886330417b4c26b3c4f46a5483d79	592	                TSTALLOC(VBICbaseBXtempPtr,VBICbaseBXNode,VBICtempNode);	if (here->VBIC_selfheat) allocation block (lines 584-611)	VBICbaseBXNode	VBICtempNode	SMPmakeElt(matrix, VBICbaseBXNode, VBICtempNode)	sparse matrix element VBICbaseBXtempPtr (temp-col)	official_base_unchanged
ALLOC_TSTALLOC_09	vbicsetup.c	f711c83cb3811d4a0fad08a2d16fbe79416886330417b4c26b3c4f46a5483d79	593	                TSTALLOC(VBICbaseBPtempPtr,VBICbaseBPNode,VBICtempNode);	if (here->VBIC_selfheat) allocation block (lines 584-611)	VBICbaseBPNode	VBICtempNode	SMPmakeElt(matrix, VBICbaseBPNode, VBICtempNode)	sparse matrix element VBICbaseBPtempPtr (temp-col)	official_base_unchanged
ALLOC_TSTALLOC_10	vbicsetup.c	f711c83cb3811d4a0fad08a2d16fbe79416886330417b4c26b3c4f46a5483d79	594	                TSTALLOC(VBICemitEItempPtr,VBICemitEINode,VBICtempNode);	if (here->VBIC_selfheat) allocation block (lines 584-611)	VBICemitEINode	VBICtempNode	SMPmakeElt(matrix, VBICemitEINode, VBICtempNode)	sparse matrix element VBICemitEItempPtr (temp-col)	official_base_unchanged
