artifact_id	file_name	byte_size	sha256_digest	publication_status	description
ngspice46_source_package	ngspice-46.tar.gz	10504768	a0d1699af1940b06649276dcd6ff5a566c8c0cad01b2f7b5e99dedbb4d64c19b	identity_only	Official ngspice 46 complete source archive; archive is not included.
ngspice46_base_vbicload	src/spicelib/devices/vbic/vbicload.c	177252	752518c6b2c943e901ed4f20199aa80e66b04820de9db7ecae774e20a0d746f5	identity_only	Official unpatched source file to which the V2 patch applies; base file is not duplicated.
origin_diagnostic_v2_patch	NGSPICE46-VBIC-VRTH-ORIGIN-DIAGNOSTIC-V2.patch	7007	ae2c5e77827a8e1a9ed742a79e3915391318af1870014b343cbc6e4ef64932e0	published	Exact diagnostic patch used to produce the patched source.
origin_diagnostic_v2_source	vbicload_origin_diagnostic_v2.c	180328	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	published	Exact patched source from which the diagnostic executable was built.
origin_diagnostic_executable	ngspice	8021584	a70433fb7936a2217e98b87cf37b41fe2a46543c5245da9a94c0929c157d93e9	identity_only	Executed binary identity retained privately; executable is deliberately not published.
executed_private_deck	tb_p1_cml_div2_front_tran_v5.cir	1648	46e7f223c140769ddbb1f503200caf463bccb395c6f117c39873a600170076fa	identity_only	Executed deck with installation-specific PDK root retained privately.
public_path_sanitized_deck	tb_p1_cml_div2_front_tran_v5.public.cir	1552	1d1f14d6aa7be5e7ecd3a338e0e92cf9a3707485d6e588ba762fce61c69736ce	published	PDK root replaced by literal $PDK_ROOT; replacing that literal with the execution root rehydrates the private deck byte-for-byte.
candidate_v5_netlist	p1_cml_div2_front_integrated_sinks.spice	5454	689d4beedfce278f0c13cf0e79a25b87ba8a12d25b9459e51dfbfde041cd3db7	published	Exact Candidate V5 integrated-sinks netlist used by the deck.
native_run_log	evidence/tb_p1_cml_div2_front_tran_v5_vrth_origin_diag.log	6339	4af1a66933f4cd5777c9a25da1228f2210b87e0e1a005d17ee3ce4165fbc98ab	published	Combined native stdout and stderr with appended NGSPICE_EXIT=0.
origin_diagnostic_raw	raw_tb_p1_cml_div2_front_tran_v5.raw	7857477	f8cf21033cd8110c2aa931927e98afc0c13820aa23c07556e9d18c4deead608b	published	Full binary raw dataset from the single actual ngspice invocation.
prior_first_nan_raw	raw_tb_p1_cml_div2_front_tran_v5.raw	7857477	c2f7054734ba51c65c8efa39f32e259b23351f7477f2ce39f60671779a29e23d	identity_only	Prior retained first-NaN diagnostic raw identity used only for byte-level comparison; not duplicated here.
