metric_name	value	evidence_boundary
ith_term_marker_count	1	Exact native log
model_return_code	0	Ith current-term header at post-call boundary
Ith_isfinite	0	Ith current-term header at post-call boundary
SCALE_hex	0x1p+0	Finite and exactly 1.0 in Ith current-term header
SCALE_isfinite	1	Ith current-term header
output_scaling_block_executed	FALSE	Applied source line 4312 tests SCALE != 1.0; observed SCALE was exactly 1.0
term_group_count	14	Exact source-order diagnostic groups
returned_current_operand_count	15	Fourteen groups; transport group contains separate Itzf and Itzr operands
returned_current_operand_finite_count	1	Only Ibex is finite
returned_current_operand_nonfinite_count	14	Fifteen returned current operands
voltage_operand_finite_count	14	Fourteen voltage operands
voltage_operand_nonfinite_count	0	Fourteen voltage operands
product_finite_count	1	Fourteen diagnostic group products
product_nonfinite_count	13	Fourteen diagnostic group products
fully_finite_group	group04_Ibex_times_Vbex	Ibex=0x0p+0; Vbex=0x1.0deaa47bfc9a7p+0; product=0x0p+0
first_source_order_nonfinite_group	group01_Ibe_times_Vbei	Ibe=-nan; Vbei finite; product=-nan
cumulative_finite_count	0	Fourteen post-scale algebraic reconstruction values cum00 through cum13
cumulative_nonfinite_count	14	All fourteen cumulative values; cum00 is already non-finite
marker_order	term:3,decomp:33,stamp:68,origin:71,warnings:75-76	Exact native-log physical lines; each marker/warning occurs once
upstream_cause	UNKNOWN	One diagnostic run does not identify the first upstream non-finite model computation
physical_units	UNKNOWN	Diagnostic values are printed without established unit authority
solver_implications	UNKNOWN	One observation does not establish solver-level consequences
circuit_status	UNKNOWN	Diagnostic evidence is not a circuit specification result
