artifact_id	public_file	original_private_byte_size	original_private_sha256	public_byte_size	public_sha256	status	description
apply_origin_log	evidence/build/apply_p1_origin.public.log	51	82ee1c82ff3bbec0b0a4f5f8710ceed31003b94b48a4dcbdf997a4550a6b1bb8	51	82ee1c82ff3bbec0b0a4f5f8710ceed31003b94b48a4dcbdf997a4550a6b1bb8	published_public_copy	No substitution needed; contains the patching-file line for P1, whose exit 0 and resulting source hash are recorded in lineage.public.log.
apply_stamp_v3_log	evidence/build/apply_p2_stamp_v3.public.log	51	82ee1c82ff3bbec0b0a4f5f8710ceed31003b94b48a4dcbdf997a4550a6b1bb8	51	82ee1c82ff3bbec0b0a4f5f8710ceed31003b94b48a4dcbdf997a4550a6b1bb8	published_public_copy	No substitution needed; contains the patching-file line for P2, whose exit 0 and resulting source hash are recorded in lineage.public.log.
apply_ith_decomp_log	evidence/build/apply_p3_decomp.public.log	51	82ee1c82ff3bbec0b0a4f5f8710ceed31003b94b48a4dcbdf997a4550a6b1bb8	51	82ee1c82ff3bbec0b0a4f5f8710ceed31003b94b48a4dcbdf997a4550a6b1bb8	published_public_copy	No substitution needed; contains the patching-file line for P3, whose exit 0 and resulting source hash are recorded in lineage.public.log.
apply_ith_term_v2_log	evidence/build/apply_p4_term_v2.public.log	51	82ee1c82ff3bbec0b0a4f5f8710ceed31003b94b48a4dcbdf997a4550a6b1bb8	51	82ee1c82ff3bbec0b0a4f5f8710ceed31003b94b48a4dcbdf997a4550a6b1bb8	published_public_copy	No substitution needed; contains the patching-file line for P4, whose exit 0 and resulting source hash are recorded in lineage.public.log.
lineage_log	evidence/build/lineage.public.log	516	9beb5113bcb4d8953f62bcc711833ffd1c1dcf0560045db92c1f8afc40c84079	516	9beb5113bcb4d8953f62bcc711833ffd1c1dcf0560045db92c1f8afc40c84079	published_public_copy	Exact public copy recording official identities, four patch exits P1-P4, and four intermediate source hashes.
syntax_v2_log	evidence/build/syntax_v2.public.log	680	d3c88117d2a3523088c0174aa858821845a6099fb42f5da0c04bf12da429a31c	664	0f8bb1d1a8213a0e6cdd245ff1587a83354d75e7128994a68670a1d13682353e	published_path_sanitized_copy	Private syntax-tree root replaced by $SYNTAX_ROOT; reverse substitution reproduced the original hash; syntax-only exit 0.
configure_log	evidence/build/configure.public.log	17601	fbe8ff7057998d6ed4640cee2015b817ad4fb75e3f8ec90be3513bcdfc7c57ee	17647	15697befd0b0d6699a20485e1a76b4f74724e6ccd57ad1fde3eedc9085c5928d	published_path_sanitized_copy	Private build-tree, system-bin, and proc paths replaced by $BUILD_ROOT, $SYSTEM_BIN, and $PROC_ROOT; reverse substitution reproduced the original hash; configure exit 0.
make_log	evidence/build/make.public.log	240522	90c25c6f7206ef4ed048b636a3897e9a06e5a0baeb14df474eb375c8a0588423	235538	d913580a8c9b04b7e834ba1538603fa5092caf2fc069f821c2a3e7d9124438dd	published_path_sanitized_copy	Private build-tree, system-bin, and system-include paths replaced by $BUILD_ROOT, $SYSTEM_BIN, and $SYSTEM_INCLUDE; reverse substitution reproduced the original hash; one make -j4 invocation, exit 0.
configure_command	N/A	N/A	N/A	N/A	N/A	public_reconstruction	./configure --prefix=$BUILD_ROOT/install --with-x=no --with-readline=no --enable-xspice --disable-debug
make_command	N/A	N/A	N/A	N/A	N/A	public_reconstruction	make -j4
build_process_custody	N/A	N/A	N/A	N/A	N/A	identity_only	One background build process; a 180-second wait timeout was followed by collection of that same process, not a retry.
