metric_name	value	description
raw_file_sha256	6e0404129c8401451099c3d758763164f63b6358c170df7f8af984d446210ca7	SHA-256 of the retained binary raw dataset
raw_file_size_bytes	7857477	Total byte size of binary raw dataset
header_size_bytes	18789	ASCII header size through and including the Binary marker
payload_size_bytes	7838688	Binary IEEE-754 double-precision payload size
payload_sha256	26c62c1942b552ae609f6eb57e9746ee30ad77b7a5c6e433c118ddd965de3de7	SHA-256 of the binary payload
preceding_run_payload_relation	BYTE_IDENTICAL	Payload matches the preceding Ith current-term run; headers differ only in Date/Build metadata
variable_count	429	Real variables recorded per time point
point_count	2284	Transient time points
total_scalar_count	979836	variable_count multiplied by point_count
finite_scalar_count	979836	Finite double-precision scalars found by direct parse
nonfinite_scalar_count	0	NaN or infinity scalars found by direct parse
time_start_s	0.00000000000000000e+00	First value of variable 0 in point-major raw payload
time_end_s	4.00000000000000025e-09	Last value of variable 0 in point-major raw payload
time_strictly_monotonic_boolean	TRUE	Every parsed time value is greater than its predecessor
engineering_pass_from_raw_finiteness	NOT_ESTABLISHED	Finite saved raw vectors do not override internal non-finite diagnostic evidence or establish circuit status
