assertion_id	source_file	source_sha256	physical_line	source_literal	guard_containment	category	observed_values	upstream_v4_assertion	provenance_class
BRIDGE_BASE	vbicload.c	e8939ea16fc58d8998b495e7f5f524b1a272b164b43ae2e9771de224ce4f97ff	N/A	byte-exact base vbicload.c (Ith-decomposition applied source)	N/A	bridge	base lines=4352	Ith decomp patch 173babe applied	bridge_row
BRIDGE_PATCH	vbicload.c	f79505a3cb2b045fbd66c3bf15c90af04c4841542a6c05f700b1168254b4abf4	N/A	NGSPICE46-VBIC-ITH-TERM-DIAGNOSTIC-V2.patch (SHA-256 f79505a3cb2b045fbd66c3bf15c90af04c4841542a6c05f700b1168254b4abf4, 9634 B)	N/A	bridge	numstat 64 additions / 0 deletions; GNU patch dry-run exit 0; git apply --check exit 0; fresh apply byte-identical=True	applies to base e8939ea1	bridge_row
BRIDGE_APPLIED	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	N/A	final applied source vbicload_ith_term_diag_v2.c	N/A	bridge	applied lines=4416	base + patch	bridge_row
BRIDGE_SYNTAX	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	N/A	syntax-only compile; immutable log NGSPICE46-VBIC-ITH-TERM-DIAGNOSTIC-SYNTAX-V2.log (SHA-256 d3c88117d2a3523088c0174aa858821845a6099fb42f5da0c04bf12da429a31c, 680 B)	N/A	bridge	exit 0; command/output/exit preserved in standalone log	no configured build / no executable / no simulation	bridge_row
BRIDGE_TRIGGER	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	N/A	trigger condition reads: (a) instance-name predicate ith_term_diag_active = (here->VBICname && strcmp(here->VBICname, "q.xdiv2.xqs_comp_s.qnpn13g2") == 0) — a per-instance read of the instance name; (b) static once flag ith_term_diag_printed; (c) the post-call local numeric Ith; all 14 current and 14 voltage operands are post-call locals (voltages are call inputs retained locally after the call); SCALE is a post-call local; cumulative values are post-scale algebraic reconstruction from returned operands, not an exact floating-point replay of line 4165 — no equality claim between cum13 and Ith	N/A	bridge	reports iret, Ith, SCALE, 14 term groups, 14 cumulative reconstructions	requirement 1-5	bridge_row
ADD_001	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	740	                /* [VBIC_ITH_TERM_DIAGNOSTIC] read-only decomposition of Ith model outputs at the call boundary (target-only, first-occurrence) */	general per-instance VBICload scope comment (outside earlier selfheat block)	comment	/* [VBIC_ITH_TERM_DIAGNOSTIC] read-only decomposition of Ith model outputs at th	added line 1 of 64	added_statement
ADD_002	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	741	                bool ith_term_diag_active = (here->VBICname && strcmp(here->VBICname, "q.xdiv2.xqs_comp_s.qnpn13g2") == 0);	pre-trigger predicate construction from instance name (runs per instance, reads only here->VBICname)	predicate_construction	bool ith_term_diag_active = (here->VBICname && strcmp(here->VBICname, "q.xdiv2.x	added line 2 of 64	added_statement
ADD_003	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	742	                static bool ith_term_diag_printed = FALSE;	pre-trigger declaration; static FALSE initializer is declaration initialization, not per-instance target-gated execution	declaration	static bool ith_term_diag_printed = FALSE;	added line 3 of 64	added_statement
ADD_004	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	743	                if (ith_term_diag_active && !ith_term_diag_printed && !isfinite(Ith)) {	exact trigger establishment	trigger	if (ith_term_diag_active && !ith_term_diag_printed && !isfinite(Ith)) {	added line 4 of 64	added_statement
ADD_005	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	744	                    fprintf(stderr, "\n[VBIC_ITH_TERM_DIAGNOSTIC] Site: MODEL_CALL@721 | iret: %d | Ith: %a (isfinite=%d) | SCALE: %a (isfinite=%d)\n",	trigger-contained diagnostic output (stderr)	output	fprintf(stderr, "\n[VBIC_ITH_TERM_DIAGNOSTIC] Site: MODEL_CALL@721 | iret: %d | 	added line 5 of 64	added_statement
ADD_006	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	745	                            iret, Ith, isfinite(Ith) ? 1 : 0, SCALE, isfinite(SCALE) ? 1 : 0);	trigger-contained diagnostic output (stderr)	output	iret, Ith, isfinite(Ith) ? 1 : 0, SCALE, isfinite(SCALE) ? 1 : 0);	added line 6 of 64	added_statement
ADD_007	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	746	                    fprintf(stderr, "  group 01 Ibe*Vbei         | cur %a (isfinite=%d) | volt %a (isfinite=%d) | product %a (isfinite=%d)\n",	trigger-contained diagnostic output (stderr)	output	fprintf(stderr, "  group 01 Ibe*Vbei         | cur %a (isfinite=%d) | volt %a (i	added line 7 of 64	added_statement
ADD_008	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	747	                            Ibe, isfinite(Ibe) ? 1 : 0, Vbei, isfinite(Vbei) ? 1 : 0, Ibe*Vbei, isfinite(Ibe*Vbei) ? 1 : 0);	trigger-contained diagnostic output (stderr)	output	Ibe, isfinite(Ibe) ? 1 : 0, Vbei, isfinite(Vbei) ? 1 : 0, Ibe*Vbei, isfinite(Ibe	added line 8 of 64	added_statement
ADD_009	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	748	                    fprintf(stderr, "  group 02 Ibc*Vbci         | cur %a (isfinite=%d) | volt %a (isfinite=%d) | product %a (isfinite=%d)\n",	trigger-contained diagnostic output (stderr)	output	fprintf(stderr, "  group 02 Ibc*Vbci         | cur %a (isfinite=%d) | volt %a (i	added line 9 of 64	added_statement
ADD_010	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	749	                            Ibc, isfinite(Ibc) ? 1 : 0, Vbci, isfinite(Vbci) ? 1 : 0, Ibc*Vbci, isfinite(Ibc*Vbci) ? 1 : 0);	trigger-contained diagnostic output (stderr)	output	Ibc, isfinite(Ibc) ? 1 : 0, Vbci, isfinite(Vbci) ? 1 : 0, Ibc*Vbci, isfinite(Ibc	added line 10 of 64	added_statement
ADD_011	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	750	                    fprintf(stderr, "  group 03 (Itzf-Itzr)*Vcei | Itzf %a (isfinite=%d) | Itzr %a (isfinite=%d) | diff %a (isfinite=%d) | volt %a (isfinite=%d) | product %a (isfinite=%d)\n",	trigger-contained diagnostic output (stderr)	output	fprintf(stderr, "  group 03 (Itzf-Itzr)*Vcei | Itzf %a (isfinite=%d) | Itzr %a (	added line 11 of 64	added_statement
ADD_012	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	751	                            Itzf, isfinite(Itzf) ? 1 : 0, Itzr, isfinite(Itzr) ? 1 : 0, Itzf-Itzr, isfinite(Itzf-Itzr) ? 1 : 0, Vcei, isfinite(Vcei) ? 1 : 0, (Itzf-Itzr)*Vcei, isfinite((Itzf-Itzr)*Vcei) ? 1 : 0);	trigger-contained diagnostic output (stderr)	output	Itzf, isfinite(Itzf) ? 1 : 0, Itzr, isfinite(Itzr) ? 1 : 0, Itzf-Itzr, isfinite(	added line 12 of 64	added_statement
ADD_013	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	752	                    fprintf(stderr, "  group 04 Ibex*Vbex        | cur %a (isfinite=%d) | volt %a (isfinite=%d) | product %a (isfinite=%d)\n",	trigger-contained diagnostic output (stderr)	output	fprintf(stderr, "  group 04 Ibex*Vbex        | cur %a (isfinite=%d) | volt %a (i	added line 13 of 64	added_statement
ADD_014	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	753	                            Ibex, isfinite(Ibex) ? 1 : 0, Vbex, isfinite(Vbex) ? 1 : 0, Ibex*Vbex, isfinite(Ibex*Vbex) ? 1 : 0);	trigger-contained diagnostic output (stderr)	output	Ibex, isfinite(Ibex) ? 1 : 0, Vbex, isfinite(Vbex) ? 1 : 0, Ibex*Vbex, isfinite(	added line 14 of 64	added_statement
ADD_015	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	754	                    fprintf(stderr, "  group 05 Ibep*Vbep        | cur %a (isfinite=%d) | volt %a (isfinite=%d) | product %a (isfinite=%d)\n",	trigger-contained diagnostic output (stderr)	output	fprintf(stderr, "  group 05 Ibep*Vbep        | cur %a (isfinite=%d) | volt %a (i	added line 15 of 64	added_statement
ADD_016	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	755	                            Ibep, isfinite(Ibep) ? 1 : 0, Vbep, isfinite(Vbep) ? 1 : 0, Ibep*Vbep, isfinite(Ibep*Vbep) ? 1 : 0);	trigger-contained diagnostic output (stderr)	output	Ibep, isfinite(Ibep) ? 1 : 0, Vbep, isfinite(Vbep) ? 1 : 0, Ibep*Vbep, isfinite(	added line 16 of 64	added_statement
ADD_017	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	756	                    fprintf(stderr, "  group 06 Irs*Vrs          | cur %a (isfinite=%d) | volt %a (isfinite=%d) | product %a (isfinite=%d)\n",	trigger-contained diagnostic output (stderr)	output	fprintf(stderr, "  group 06 Irs*Vrs          | cur %a (isfinite=%d) | volt %a (i	added line 17 of 64	added_statement
ADD_018	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	757	                            Irs, isfinite(Irs) ? 1 : 0, Vrs, isfinite(Vrs) ? 1 : 0, Irs*Vrs, isfinite(Irs*Vrs) ? 1 : 0);	trigger-contained diagnostic output (stderr)	output	Irs, isfinite(Irs) ? 1 : 0, Vrs, isfinite(Vrs) ? 1 : 0, Irs*Vrs, isfinite(Irs*Vr	added line 18 of 64	added_statement
