assertion_id	source_file	source_sha256	physical_line	source_literal	classification	observed_values	upstream_v4_assertion	provenance_class
BRIDGE_SOURCE	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	N/A	applied source vbicload_ith_term_diag_v2.c (Ith-term V2 lineage)	bridge	lines=4416, SHA bound to 01cc4f1f	official 752518c6 -> b3abd28a -> ee6b2aa9 -> e8939ea1 -> 01cc4f1f	bridge_row
BRIDGE_SCOPE	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	N/A	static trace of *Ibe inside vbic_4T_et_cf_fj (function def line 1777, opened 21)	bridge	all assignments to *Ibe, operand assignment sites, branches, limiting functions before Ith line 4229	runtime evidence: Ith-term run (log 94f165a4) group 01 Ibe non-finite, Ibex=0x0p+0	bridge_row
BRIDGE_BRANCH_EVIDENCE	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	N/A	runtime branch identification from retained run evidence	bridge	Ibex=0x0p+0 (group 04) matches the p[32]==1.0 branch which forces (*Ibex)=0.0 at line 3651; Ibe computed at 3622 or 3639	log line 7 group 04 Ibex*Vbex cur 0x0p+0 isfinite=1	bridge_row
BRIDGE_LIMIT	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	N/A	limiting-function scan of vbic_4T_et_cf_fj (lines 1777-4230)	bridge	zero pnjlim/limv calls; only exp(), pow(), log() non-linear primitives (lines 1892-2474 region and 3555-4229)	static scan of full function body	bridge_row
BRIDGE_OBS_BOUNDARY	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	3653	        *Ibex_Vbex=0.0;	observation_recommendation	smallest single read-only observation boundary for the runtime-taken branch: immediately after line 3653 (end of the p[32]==1.0 branch body), before line 3654 (}else if(p[32]==0.0){); at this point *Ibe is final and every immediate operand (IBEIatT, IBENatT, expi, expn, expx, argx, EBBEatT, p[100], *Vbei, Vtv, Tdev, *Vrth, VBBEatT, NBBEatT, dT, p[32], p[98]) still holds the taken-branch value (later Vbex-based recomputations at 3658+/3784+ would overwrite expi/argi); reads only function-scope locals/call inputs; no matrix/RHS/state/model memory reads; no writes except one target-gated once flag; trigger: exact instance name + !isfinite(*Ibe) + first occurrence	for other branches: per-branch sites after 3715 and after 3941; alternative earliest-capture sites after each (*Ibe)= assignment (3622/3639/3655/3746/3763)	bridge_row
IBE_ASSIGN_3622	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	3622	            (*Ibe)=IBEIatT*(expi-1.0)+IBENatT*(expn-1.0)-p[100]*(expx-EBBEatT);	expression_assignment	branch p[32]==1.0 and p[98]>0.0: IBEIatT*(expi-1.0)+IBENatT*(expn-1.0)-p[100]*(expx-EBBEatT)	all 5 *Ibe assignment sites	assignment
IBE_ASSIGN_3639	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	3639	            (*Ibe)=IBEIatT*(expi-1.0)+IBENatT*(expn-1.0);	expression_assignment	branch p[32]==1.0 and p[98]<=0.0: IBEIatT*(expi-1.0)+IBENatT*(expn-1.0)	all 5 *Ibe assignment sites	assignment
IBE_ASSIGN_3655	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	3655	        (*Ibe)=0.0;	expression_assignment	branch p[32]==0.0: (*Ibe)=0.0	all 5 *Ibe assignment sites	assignment
IBE_ASSIGN_3746	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	3746	            (*Ibe)=p[32]*(IBEIatT*(expi-1.0)+IBENatT*(expn-1.0)-p[100]*(expx-EBBEatT));	expression_assignment	branch else (p[32] not 0/1): p[32]*(IBEIatT*(expi-1.0)+IBENatT*(expn-1.0)-p[100]*(expx-EBBEatT))	all 5 *Ibe assignment sites	assignment
IBE_ASSIGN_3763	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	3763	            (*Ibe)=p[32]*(IBEIatT*(expi-1.0)+IBENatT*(expn-1.0));	expression_assignment	branch else (p[32] not 0/1), p[98]<=0.0: p[32]*(IBEIatT*(expi-1.0)+IBENatT*(expn-1.0))	all 5 *Ibe assignment sites	assignment
