artifact_id	public_file	original_private_byte_size	original_private_sha256	public_byte_size	public_sha256	status	description
apply_p1_log	evidence/build/apply_p1.public.log	51	82ee1c82ff3bbec0b0a4f5f8710ceed31003b94b48a4dcbdf997a4550a6b1bb8	51	82ee1c82ff3bbec0b0a4f5f8710ceed31003b94b48a4dcbdf997a4550a6b1bb8	published_public_copy	Exact copy containing the patching-file line for P1; exit and result hash are recorded in lineage.public.log.
apply_p2_log	evidence/build/apply_p2.public.log	51	82ee1c82ff3bbec0b0a4f5f8710ceed31003b94b48a4dcbdf997a4550a6b1bb8	51	82ee1c82ff3bbec0b0a4f5f8710ceed31003b94b48a4dcbdf997a4550a6b1bb8	published_public_copy	Exact copy containing the patching-file line for P2; exit and result hash are recorded in lineage.public.log.
apply_p3_log	evidence/build/apply_p3.public.log	51	82ee1c82ff3bbec0b0a4f5f8710ceed31003b94b48a4dcbdf997a4550a6b1bb8	51	82ee1c82ff3bbec0b0a4f5f8710ceed31003b94b48a4dcbdf997a4550a6b1bb8	published_public_copy	Exact copy containing the patching-file line for P3; exit and result hash are recorded in lineage.public.log.
apply_p4_log	evidence/build/apply_p4.public.log	51	82ee1c82ff3bbec0b0a4f5f8710ceed31003b94b48a4dcbdf997a4550a6b1bb8	51	82ee1c82ff3bbec0b0a4f5f8710ceed31003b94b48a4dcbdf997a4550a6b1bb8	published_public_copy	Exact copy containing the patching-file line for P4; exit and result hash are recorded in lineage.public.log.
apply_p5_log	evidence/build/apply_p5.public.log	51	82ee1c82ff3bbec0b0a4f5f8710ceed31003b94b48a4dcbdf997a4550a6b1bb8	51	82ee1c82ff3bbec0b0a4f5f8710ceed31003b94b48a4dcbdf997a4550a6b1bb8	published_public_copy	Exact copy containing the patching-file line for P5; exit and result hash are recorded in lineage.public.log.
before_proof_log	evidence/build/before_proof.public.log	284	73600b6359b17ea74d10b50baaded52005dc9f1795aaa40499c32aa2b8c92af6	284	73600b6359b17ea74d10b50baaded52005dc9f1795aaa40499c32aa2b8c92af6	published_public_copy	Exact raw pre-build scan; CONFIGURE_STATE=7 is interpreted in README as pristine archive contents, not generated state.
lineage_log	evidence/build/lineage.public.log	395	468e573ea561ff993360c0bb72108875918cc46f383c40c7af62e9fdecfe605c	395	468e573ea561ff993360c0bb72108875918cc46f383c40c7af62e9fdecfe605c	published_public_copy	Exact five-step patch exit and intermediate-source record.
syntax_v2_log	evidence/build/syntax_v2.public.log	816	782d295d13f3b399bd44f540e452f6db75f09d25104a01add31d6a16dcff33b4	816	782d295d13f3b399bd44f540e452f6db75f09d25104a01add31d6a16dcff33b4	published_public_copy	Exact syntax log; narrow source-level result and copied-tree correction are documented in README.
configure_log	evidence/build/configure.public.log	17603	37777035ebf25c7dbcec150bbc832bc0b7809d428ca644f15772f6b50aa053c9	17647	a97709aef166e6dfab9ea8e8039e97659b7c11e44d1d7117adde903874d37770	published_path_sanitized_copy	Build-tree, system-bin, and proc paths replaced by $BUILD_ROOT, $SYSTEM_BIN, and $PROC_ROOT; reverse substitution reproduced the original; configure exit 0.
make_log	evidence/build/make.public.log	241058	cc08d84fbfa3e86c78a246fc77ddfa8291bc63beee5ddc4fdd65ced31969978e	235538	9191c60c1f47349333fa60025db0333c477bee2c9c96533e595fa470166037d1	published_path_sanitized_copy	Build-tree, system-bin, and system-include paths replaced by $BUILD_ROOT, $SYSTEM_BIN, and $SYSTEM_INCLUDE; reverse substitution reproduced the original; one make -j4 invocation, exit 0.
configure_command	N/A	N/A	N/A	N/A	N/A	public_reconstruction	./configure --prefix=$BUILD_ROOT/install --with-x=no --with-readline=no --enable-xspice --disable-debug
make_command	N/A	N/A	N/A	N/A	N/A	public_reconstruction	make -j4
build_process_custody	N/A	N/A	N/A	N/A	N/A	identity_only	One background make process; one orchestration wait timeout followed by collection of the same process, not a retry.
