equation	status	bound_name	authority_chain	authority_shas
2	UNMAPPED		no retained source/evidence chain binds equation index 2 to a canonical name	
70	UNMAPPED		no retained source/evidence chain binds equation index 70 to a canonical name	
79	UNMAPPED		no retained source/evidence chain binds equation index 79 to a canonical name	
98	UNMAPPED		no retained source/evidence chain binds equation index 98 to a canonical name	
99	UNMAPPED		no retained source/evidence chain binds equation index 99 to a canonical name	
100	MAPPED	q.xdiv2.xqs_comp_s.qnpn13g2	niiter_v4:82-104 strcmp instance literal + VBICtempNode | vbicdefs.h:55 temp-node-number field | base_stderr VBIC_THERMAL_VECTOR_PROBE tnode=100 @iterno3/time0/mode1056 | cktnewn.c:37 node number == equation index | spalloc.c:229-241 identity maps	niiter_v4 687e2f85 | vbicdefs.h 0185f8162e02de0c | base_stderr 2676cdce
102	UNMAPPED		no retained source/evidence chain binds equation index 102 to a canonical name	
103	UNMAPPED		no retained source/evidence chain binds equation index 103 to a canonical name	
104	UNMAPPED		no retained source/evidence chain binds equation index 104 to a canonical name	
105	UNMAPPED		no retained source/evidence chain binds equation index 105 to a canonical name	
106	UNMAPPED		no retained source/evidence chain binds equation index 106 to a canonical name	
107	UNMAPPED		no retained source/evidence chain binds equation index 107 to a canonical name	
108	UNMAPPED		no retained source/evidence chain binds equation index 108 to a canonical name	
