artifact	source_sha256	source_bytes	publication
p1_top.sch	e91c46604e14e0de056f0aacb2c8e6976490d8453130e656a5653d1db7f5ca50	1889	exact
p1_top.sym	2c5fd1fad185ad89e1c67083543029c7a29d18a42c47e59afe3bbb59f32adb91	2096	exact
p1_top_hier.sch	bd5ec8d596a1c15a98588c69ccd4c7ac6b366594487e6948a503e2782925f6e6	1128	exact
p1_noise_gen.sch	e6785b8c4f9aa8db422fb25012cbda507f6ef5585aca24e7aa8b8d696b4a0d8b	2014	exact
p1_noise_gen.sym	425204566fbeee8f4b799af22364f9c0783f71ae3e6008a7fd92d109498c178b	971	exact
p1_noise_amp.sch	8bc1d588bced233fa8c57d9ab8623456d09a981471761f50b558268c8d915107	8432	exact
p1_noise_amp.sym	72b8c8eca3bba0d22907d216b49055df189e4f3dc576a7bd60b63d54e1866132	911	exact
p1_comparator.sch	ae3c87816fc0c56bb49da6e159e0d7faa56f73c24fe180dc977ef1e8a9bdd209	13194	exact
p1_comparator.sym	c6b0bd8cf7d9329b8c48f0d87639baf2f209d8d81214ea32b163deb4bcaa701d	1489	exact
p1_top_hier.spice	b8ac82719ffcd365b91fbd7c997b45d9d422e684077fe82f05a691cb7dcbd4ca	8339	path_comments_sanitized
openada-netlist-result.json	4b27929f1448c5948271f05993d9fd400caa01b80590cbee90fc9c6e959dfa20	2178	public_projection
p1_top_v2_harness_plan_v2.tsv	a1797fd1efe5e54a2562b3c58afabf30729f866c7664fade004be62011588e2e	3353	exact
xschemrc	d6d8fa5157ad2072e6d1ce63bda5f5d593ef4eb84631f23eed5e9ae3886f18b5	19794	reused_from_comparator_package
