artifact_id	file_name	byte_size	sha256_digest	publication_status	description
ngspice46_source_package	ngspice-46.tar.gz	10504768	a0d1699af1940b06649276dcd6ff5a566c8c0cad01b2f7b5e99dedbb4d64c19b	identity_only	Official ngspice 46 source archive; not included.
ngspice46_official_vbicload	src/spicelib/devices/vbic/vbicload.c	177252	752518c6b2c943e901ed4f20199aa80e66b04820de9db7ecae774e20a0d746f5	identity_only	Official unpatched source to which P1 applies.
origin_v2_patch	NGSPICE46-VBIC-VRTH-ORIGIN-DIAGNOSTIC-V2.patch	7007	ae2c5e77827a8e1a9ed742a79e3915391318af1870014b343cbc6e4ef64932e0	published	Exact P1 patch.
origin_v2_source	vbicload_origin_diagnostic_v2.c	180328	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	published	Exact P1 output and P2 base; also the failed attempt's stopped source state.
stamp_v3_patch	NGSPICE46-VBIC-TEMPNODE-STAMP-DIAGNOSTIC-V3.patch	15137	8a67afa2d84f3c83279d23ccc48235524e0680527575c2830a02632cad235af9	published	Exact P2 patch.
stamp_audit_v4	NGSPICE46-VBIC-TEMPNODE-STAMP-DIAGNOSTIC-AUDIT-V4.tsv	15143	279a56bb81e2902cf04b45130bc204166b2061889089b98c5e792d3e1abe67a1	published_corrected	Current static audit for P2.
stamp_v3_source	vbicload_stamp_diagnostic_v3.c	192533	ee6b2aa917c57a79d1694f885fa9b2ac593c5750da92b910ed2bae1eacdb27c9	published	Exact P2 output and P3 base.
ith_decomp_v1_patch	NGSPICE46-VBIC-ITH-RHS-DECOMP-DIAGNOSTIC-V1.patch	9953	173babeff5890b9c08e9b9d7c7bcc183eda52cc9692c6ac21a2fb87a9f8cace9	published	Exact P3 patch.
ith_decomp_audit_v2	NGSPICE46-VBIC-ITH-RHS-DECOMP-DIAGNOSTIC-AUDIT-V2.tsv	44211	495bc5e867e37249ffb1ac868aedb129de1774e171ed56578762faceb36eb013	published_corrected	Current static audit for P3.
ith_decomp_v1_source	vbicload_ith_rhs_decomp_v1.c	201894	e8939ea16fc58d8998b495e7f5f524b1a272b164b43ae2e9771de224ce4f97ff	published	Exact P3 output and P4 base.
ith_term_v2_patch	NGSPICE46-VBIC-ITH-TERM-DIAGNOSTIC-V2.patch	9634	f79505a3cb2b045fbd66c3bf15c90af04c4841542a6c05f700b1168254b4abf4	published	Exact P4 patch.
ith_term_audit_v2	NGSPICE46-VBIC-ITH-TERM-DIAGNOSTIC-AUDIT-V2.tsv	43952	09e6a32e4f77bb9ce6b2f6104deffa02cf6046f64577935f03d3aff140a6b78a	published_corrected	Current static audit for P4.
ith_term_v2_source	vbicload_ith_term_diag_v2.c	211100	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	published	Exact P4 output and P5 base.
ibe_source_v2_patch	NGSPICE46-VBIC-IBE-SOURCE-DIAGNOSTIC-V2.patch	3872	3699f89330327627b1b9c50ecae4c7fc7c8fb6d60ef831d57967cdd65634c4b2	published	Exact P5 patch.
ibe_source_audit_v4	NGSPICE46-VBIC-IBE-SOURCE-DIAGNOSTIC-AUDIT-V4.tsv	12633	8f39abcde7166071a18d36321ffd3250efaff3d657afef1bdf46dca5e81061e4	published_corrected	Current static audit for P5.
ibe_source_v2_source	vbicload_ibe_source_diag_v2.c	212990	2999b2afa9a34fdd501f02a2312be2b98f5f5f57c9d7bd0637321a61aa581075	published	Exact P5 output and P6 base.
temp_scale_v1_patch	NGSPICE46-VBIC-TEMP-SCALE-DIAGNOSTIC-V1.patch	1663	057d991b8a24e909031dec51378389b6c47fa46d7a611cd2ffa275d498d10f92	published	Exact P6 patch; 11 additions and no deletions.
temp_scale_audit_v1	NGSPICE46-VBIC-TEMP-SCALE-DIAGNOSTIC-AUDIT-V1.tsv	8931	d47add73bf8b903c79e3f78f9e4ec5a9118b9b196bf51ae5dbfadd3019fd5616	published	Static audit authority for P6.
temp_scale_v1_source	vbicload_temp_scale_diag_v1.c	214339	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	published	Exact P6 output, successful-build source, and executed-binary source.
temp_scale_executable	ngspice	8046160	3a4419de06139beec715fede7338fd63926895fede047b1e498b37203ee384dc	identity_only	Executed binary identity; executable deliberately not published.
