metric_name	value	evidence_boundary
temperature_scale_marker_count	1	Exact native log.
source_assignment	xvar2=pow(rT,p[79]);	Exact final source physical line 2019.
Tdev_hex	-0x1.5025bf1640888p+6	Finite and negative; exact marker.
Vtv_hex	-0x1.da9861fa26caap-8	Finite and negative; exact marker.
rT_hex	-0x1.1eb3d5166ee8p-2	Finite and negative; exact marker.
p79_hex	0x1.a666666666667p+1	Finite and non-integer; exact marker.
xvar2_isfinite	0	Exact marker immediately reports result of source assignment.
p72_xvar3_xvar4_p33_xvar5_p31_all_finite	TRUE	Exact marker.
xvar1_xvar6_IBEIatT_all_nonfinite	TRUE	Exact marker; later chain values.
supported_boundary	NEGATIVE_BASE_NONINTEGER_POWER_TO_NONFINITE_RESULT	Confined to printed temperature-scaling chain.
upstream_negative_Vrth_Tdev_cause	UNKNOWN	Run does not establish why thermal values became negative.
first_nonfinite_in_full_model	UNKNOWN	Marker is scoped to one chain and one later observation.
marker_order	temp:3,ibe:7,term:12,decomp:42,stamp:77,origin:80,warnings:84-85	Exact native-log physical lines; each occurs once.
physical_units	UNKNOWN	Diagnostic values lack independently established unit authority.
solver_implications	UNKNOWN	One observation does not establish solver-level consequences.
circuit_status	UNKNOWN	Diagnostic evidence is not a circuit specification result.
