artifact_relative_path	artifact_sha256	search_pattern	match_count	absence_fact_description
tb_full_array_code0_modelvalid_2x8_900ua.cir	5a391a7292b48994f61d276bae88b6fe0ef892c813186f08f3e68da56452aca0	p1_noise_gen	0	Full-array comparator execution deck does not instantiate noise generator block
tb_full_array_code0_modelvalid_2x8_900ua.cir	5a391a7292b48994f61d276bae88b6fe0ef892c813186f08f3e68da56452aca0	VB1	0	Full-array comparator execution deck contains 0 instances or definitions of VB1
tb_full_array_code0_modelvalid_2x8_900ua.cir	5a391a7292b48994f61d276bae88b6fe0ef892c813186f08f3e68da56452aca0	VB2	0	Full-array comparator execution deck contains 0 instances or definitions of VB2
tb_full_array_code0_modelvalid_2x8_900ua.cir	5a391a7292b48994f61d276bae88b6fe0ef892c813186f08f3e68da56452aca0	IE	0	Full-array comparator execution deck contains 0 instances or definitions of IE
tb_chunk0_27c.cir	553bcbc438c9f68c12caddab3713d75f1156327928d134a61b9c15a8151d9620	p1_noise_gen	0	Sampler execution deck uses PWL/E-source noise stimulus and instantiates preamplifier and comparator, but does NOT instantiate source-backed noise-generator hierarchy
tb_chunk1_27c.cir	1867c9bfdcbf4f72b845645919ed5d10e0ef4074fbf6f314030f90e8f8efaacb	p1_noise_gen	0	Sampler execution deck uses PWL/E-source noise stimulus and instantiates preamplifier and comparator, but does NOT instantiate source-backed noise-generator hierarchy
tb_chunk2_27c.cir	f2636fc1b490c83da0ff6cf0a3728b11bb158a4fa62019c2d7f16cd5a73e927f	p1_noise_gen	0	Sampler execution deck uses PWL/E-source noise stimulus and instantiates preamplifier and comparator, but does NOT instantiate source-backed noise-generator hierarchy
tb_chunk3_27c.cir	7a1bf83b647c4ff8b9784bfd398fc8f6f72ce5fdf32ca6d4a0abee683f8ad7b9	p1_noise_gen	0	Sampler execution deck uses PWL/E-source noise stimulus and instantiates preamplifier and comparator, but does NOT instantiate source-backed noise-generator hierarchy
tb_chunk0_-40c.cir	c41f872dcaac32eaafd91b5cd16a26e198aac66abbc3a3fda6807b396bf7d07a	p1_noise_gen	0	Sampler execution deck uses PWL/E-source noise stimulus and instantiates preamplifier and comparator, but does NOT instantiate source-backed noise-generator hierarchy
tb_chunk1_-40c.cir	c5c03109883f84873829c52b435e6d5456bdf89afa69fb3e0f66e182bc971101	p1_noise_gen	0	Sampler execution deck uses PWL/E-source noise stimulus and instantiates preamplifier and comparator, but does NOT instantiate source-backed noise-generator hierarchy
tb_chunk2_-40c.cir	ead4021d78bde70b590711b87c7963af1112ae061c7f3e06a8a09412bf6cedcc	p1_noise_gen	0	Sampler execution deck uses PWL/E-source noise stimulus and instantiates preamplifier and comparator, but does NOT instantiate source-backed noise-generator hierarchy
tb_chunk3_-40c.cir	af9c64c9a9332ad4e411305b397348cc8f308479fef4d946cae352dbd31ad521	p1_noise_gen	0	Sampler execution deck uses PWL/E-source noise stimulus and instantiates preamplifier and comparator, but does NOT instantiate source-backed noise-generator hierarchy
