queried_port	artifact_relative_path	artifact_sha256	source_line	literal_evidence	observed_role	authority_class	conflict_or_gap
VB1	cace_ihp_sg13g2_demo/xschem/candidates/p1_noise_gen_symbol_v1/p1_noise_gen.sch	168839d8b0f3b721a46d8336f5932faaaa4cf6bcc166ba626f817b45892b905a	18	C {devices/ipin.sym} -250 0 0 0 {name=p5 lab=VB1}	Subcircuit input pin for base drive of HBT Q1	SOURCE_INTERFACE	No voltage source or bias network defined in block schematic
VB1	cace_ihp_sg13g2_demo/xschem/candidates/p1_noise_gen_hier_v1/p1_noise_gen_hier.spice	8a6d2525417d12a3f61939337784dd68674db9317f9236e27cd47b316f8b10b3	16	.subckt p1_noise_gen RAW_NOISE_P RAW_NOISE_N VCC VSS VB1 VB2 IE	Subcircuit input port for base terminal of Q1	SOURCE_INTERFACE	Undriven in standalone subcircuit definition
VB1	cace_ihp_sg13g2_demo/runs/p1_noise_gen_run/tb_p1_noise_gen.spice	1bc05c2814996ec2e9372da263aa2941f5b89dfb370eeb34de20bf6da822cf64	20	VCM b_cm 0 DC 0.872	Standalone noise gen testbench common-mode bias voltage stimulus	TESTBENCH_DRIVE	Testbench stimulus sets common-mode bias to 0.872V; not top-level schematic decision
VB1	cace_ihp_sg13g2_demo/runs/p1_noise_gen_run/tb_p1_noise_gen.spice	1bc05c2814996ec2e9372da263aa2941f5b89dfb370eeb34de20bf6da822cf64	21	VVIN b1 b2 DC 0 AC 1	Standalone noise gen testbench differential AC stimulus source	TESTBENCH_DRIVE	Testbench AC stimulus source between b1 and b2
VB2	cace_ihp_sg13g2_demo/xschem/candidates/p1_noise_gen_symbol_v1/p1_noise_gen.sch	168839d8b0f3b721a46d8336f5932faaaa4cf6bcc166ba626f817b45892b905a	19	C {devices/ipin.sym} 250 0 0 0 {name=p6 lab=VB2}	Subcircuit input pin for base drive of HBT Q2	SOURCE_INTERFACE	No voltage source or bias network defined in block schematic
VB2	cace_ihp_sg13g2_demo/xschem/candidates/p1_noise_gen_hier_v1/p1_noise_gen_hier.spice	8a6d2525417d12a3f61939337784dd68674db9317f9236e27cd47b316f8b10b3	16	.subckt p1_noise_gen RAW_NOISE_P RAW_NOISE_N VCC VSS VB1 VB2 IE	Subcircuit input port for base terminal of Q2	SOURCE_INTERFACE	Undriven in standalone subcircuit definition
IE	cace_ihp_sg13g2_demo/xschem/candidates/p1_noise_gen_symbol_v1/p1_noise_gen.sch	168839d8b0f3b721a46d8336f5932faaaa4cf6bcc166ba626f817b45892b905a	20	C {devices/iopin.sym} 0 80 0 0 {name=p7 lab=IE}	Subcircuit inout pin for shared emitter node of HBT pair Q1/Q2	SOURCE_INTERFACE	No tail current sink or emitter bias resistor connected in block schematic
IE	cace_ihp_sg13g2_demo/xschem/candidates/p1_noise_gen_hier_v1/p1_noise_gen_hier.spice	8a6d2525417d12a3f61939337784dd68674db9317f9236e27cd47b316f8b10b3	16	.subckt p1_noise_gen RAW_NOISE_P RAW_NOISE_N VCC VSS VB1 VB2 IE	Subcircuit inout port for shared emitter node	SOURCE_INTERFACE	Tail emitter current sink unprovided in subcircuit definition
IE	cace_ihp_sg13g2_demo/runs/p1_noise_gen_run/tb_p1_noise_gen.spice	1bc05c2814996ec2e9372da263aa2941f5b89dfb370eeb34de20bf6da822cf64	10	ISET e VSS DC 2.0m	Standalone noise gen testbench 2.0mA tail emitter bias current sink	TESTBENCH_DRIVE	Testbench stimulus drives tail current to 2.0mA; not top-level schematic decision
NOISE_GEN_VCC	cace_ihp_sg13g2_demo/xschem/candidates/p1_noise_gen_symbol_v1/p1_noise_gen.sch	168839d8b0f3b721a46d8336f5932faaaa4cf6bcc166ba626f817b45892b905a	16	C {devices/iopin.sym} 0 -180 0 0 {name=p3 lab=VCC}	Subcircuit supply port for collector load resistors RC1/RC2	SOURCE_INTERFACE	Distinct supply port VCC in noise generator schematic
NOISE_GEN_VCC	cace_ihp_sg13g2_demo/xschem/candidates/p1_noise_gen_hier_v1/p1_noise_gen_hier.spice	8a6d2525417d12a3f61939337784dd68674db9317f9236e27cd47b316f8b10b3	16	.subckt p1_noise_gen RAW_NOISE_P RAW_NOISE_N VCC VSS VB1 VB2 IE	Subcircuit positive supply port	SOURCE_INTERFACE	Subcircuit port VCC
NOISE_GEN_VCC	cace_ihp_sg13g2_demo/runs/p1_noise_gen_run/tb_p1_noise_gen.spice	1bc05c2814996ec2e9372da263aa2941f5b89dfb370eeb34de20bf6da822cf64	17	VCC vcc 0 DC 2.5	Standalone noise gen testbench 2.5V DC supply stimulus source	TESTBENCH_DRIVE	Testbench stimulus drives noise generator VCC to 2.5V
NOISE_GEN_VSS	cace_ihp_sg13g2_demo/xschem/candidates/p1_noise_gen_symbol_v1/p1_noise_gen.sch	168839d8b0f3b721a46d8336f5932faaaa4cf6bcc166ba626f817b45892b905a	17	C {devices/iopin.sym} 0 150 0 0 {name=p4 lab=VSS}	Subcircuit ground reference port for substrate tap XTAP1	SOURCE_INTERFACE	Distinct ground port VSS in noise generator schematic
NOISE_GEN_VSS	cace_ihp_sg13g2_demo/xschem/candidates/p1_noise_gen_hier_v1/p1_noise_gen_hier.spice	8a6d2525417d12a3f61939337784dd68674db9317f9236e27cd47b316f8b10b3	16	.subckt p1_noise_gen RAW_NOISE_P RAW_NOISE_N VCC VSS VB1 VB2 IE	Subcircuit ground reference port	SOURCE_INTERFACE	Subcircuit port VSS
NOISE_AMP_VCC	cace_ihp_sg13g2_demo/xschem/candidates/p1_noise_amp_hier_v2/p1_noise_amp.sch	8bc1d588bced233fa8c57d9ab8623456d09a981471761f50b558268c8d915107	18	C {devices/iopin.sym} 0 -220 0 0 {name=p5 lab=VCC}	Subcircuit supply port for 2-stage preamplifier active loads & bias dividers	SOURCE_INTERFACE	Distinct supply port VCC in noise preamplifier schematic
NOISE_AMP_VCC	cace_ihp_sg13g2_demo/xschem/candidates/p1_noise_amp_hier_v2/p1_noise_amp_hier.spice	186d52fd57d734dabd150514be417a5d408f6c10d89bf10c48694043aff8a934	15	.subckt p1_noise_amp NOISE_AMP_P NOISE_AMP_N RAW_NOISE_P RAW_NOISE_N VCC VSS	Subcircuit positive supply port	SOURCE_INTERFACE	Subcircuit port VCC
NOISE_AMP_VSS	cace_ihp_sg13g2_demo/xschem/candidates/p1_noise_amp_hier_v2/p1_noise_amp.sch	8bc1d588bced233fa8c57d9ab8623456d09a981471761f50b558268c8d915107	19	C {devices/iopin.sym} 0 280 0 0 {name=p6 lab=VSS}	Subcircuit ground reference port for emitter degeneration & bias network	SOURCE_INTERFACE	Distinct ground port VSS in noise preamplifier schematic
NOISE_AMP_VSS	cace_ihp_sg13g2_demo/xschem/candidates/p1_noise_amp_hier_v2/p1_noise_amp_hier.spice	186d52fd57d734dabd150514be417a5d408f6c10d89bf10c48694043aff8a934	15	.subckt p1_noise_amp NOISE_AMP_P NOISE_AMP_N RAW_NOISE_P RAW_NOISE_N VCC VSS	Subcircuit ground reference port	SOURCE_INTERFACE	Subcircuit port VSS
COMPARATOR_VCC_HBT	cace_ihp_sg13g2_demo/xschem/candidates/rfb18p5_v3/p1_comparator.sch	ae3c87816fc0c56bb49da6e159e0d7faa56f73c24fe180dc977ef1e8a9bdd209	22	C {devices/iopin.sym} 0 -220 0 0 {name=p8 lab=VCC_HBT}	Subcircuit 2.5V supply port for HBT CML load resistors RC1/RC2 and emitter followers	SOURCE_INTERFACE	Distinct supply port VCC_HBT in comparator schematic
COMPARATOR_VCC_HBT	cace_ihp_sg13g2_demo/xschem/candidates/rfb18p5_v5_hier/p1_comparator_hier.spice	71642f010562713aaef6f9fe7bc0f933b7f53b0cae16e9c6f8c3cd38053cbeeb	21	.subckt p1_comparator PBIT_OUT PBIT_RAW CLK_OUT_DIV IN_P IN_N CLK_P CLK_N TRIM_P TRIM_N VCC_HBT VDD VSS	Subcircuit 2.5V HBT supply port	SOURCE_INTERFACE	Subcircuit port VCC_HBT
COMPARATOR_VCC_HBT	tb_full_array_code0_modelvalid_2x8_900ua.cir	5a391a7292b48994f61d276bae88b6fe0ef892c813186f08f3e68da56452aca0	83	VCC_HBT VCC 0 DC 2.500	Retained full-array testbench 2.5V DC supply stimulus source	TESTBENCH_DRIVE	Testbench stimulus drives VCC_HBT rail to 2.500V; not a top-level schematic decision
VDD	cace_ihp_sg13g2_demo/xschem/candidates/rfb18p5_v3/p1_comparator.sch	ae3c87816fc0c56bb49da6e159e0d7faa56f73c24fe180dc977ef1e8a9bdd209	23	C {devices/iopin.sym} 100 -220 0 0 {name=p9 lab=VDD}	Subcircuit 1.2V supply port for CML-to-CMOS level shifters & digital dividers	SOURCE_INTERFACE	Distinct supply port VDD in comparator schematic
VDD	cace_ihp_sg13g2_demo/xschem/candidates/rfb18p5_v5_hier/p1_comparator_hier.spice	71642f010562713aaef6f9fe7bc0f933b7f53b0cae16e9c6f8c3cd38053cbeeb	21	.subckt p1_comparator PBIT_OUT PBIT_RAW CLK_OUT_DIV IN_P IN_N CLK_P CLK_N TRIM_P TRIM_N VCC_HBT VDD VSS	Subcircuit 1.2V CMOS supply port	SOURCE_INTERFACE	Subcircuit port VDD
