assertion_id	source_file	source_sha256	physical_line	source_literal	classification	observed_values	upstream_v4_assertion	provenance_class
BRIDGE_BASE	vbicload.c	c571a9c68e959c570b1680ff5cf6e51bab5e97071b5f49b3875360e6cffc9898	N/A	byte-exact V1 applied base vbicload.c (vrth-transition V1)	bridge	base lines=4454; SHA bound c571a9c6	lineage ... -> 92123daa -> c571a9c6	bridge_row
BRIDGE_PATCH	vbicload.c	342e2a04a4a26cc940c6798397e8d8cd53f6cab27c58cad8960f67fc5e68726a	N/A	NGSPICE46-VBIC-VRTH-TRANSITION-DIAGNOSTIC-V2.patch (SHA-256 342e2a04a4a26cc940c6798397e8d8cd53f6cab27c58cad8960f67fc5e68726a, 1507 B)	bridge	numstat 1 additions / 1 deletions; 1 hunk(s); GNU patch dry-run exit 0; git apply --check exit 0; numstat cmd 1 1 spicelib/devices/vbic/vbicload.c; one-conversion-only=True; fresh apply-once byte-identical=True	applies once to base c571a9c6	bridge_row
BRIDGE_REPAIRED	vbicload.c	59d875679da675ef8daedbd151e91b39b27a13ae197530af40650c62e3e75172	N/A	repaired source vbicload_vrth_transition_diag_v2.c	bridge	repaired lines=4454; SHA bound 59d875679da675ef8daedbd151e91b39b27a13ae197530af40650c62e3e75172	base + V2 patch	bridge_row
BRIDGE_SCOPE	vbicload.c	c571a9c68e959c570b1680ff5cf6e51bab5e97071b5f49b3875360e6cffc9898	1083	                fprintf(stderr, "\n[VBIC_VRTH_TRANSITION_DIAGNOSTIC] Site: state0_writeback@1075 | stored_before: %a (isfinite=%d) | Vrth(local): %a (isfinite=%d) | state0_after_write(direct read): %a (isfinite=%d) | state1: %a (isfinite=%d) | state2: %a (isfinite=%d) | CKTtime: %g | CKTmode: %d\n",	bridge	byte-diff scope proof: exactly one hunk, one deleted line, one added line; the only difference is the CKTmode conversion %d -> %ld; all other 4453 lines byte-identical	V2 changes only the transition-marker CKTmode conversion	bridge_row
BRIDGE_FORMAT_PAIRING	vbicload.c	59d875679da675ef8daedbd151e91b39b27a13ae197530af40650c62e3e75172	N/A	format pairing evidence	bridge	cktdefs.h line 165 declares CKTmode as long (src/include/ngspice/cktdefs.h, SHA-256 6e180f74efdae65793a5b5baa316b8fcd4e59782ed8bda5165dd8cd19b692672); argument 14 of the fprintf is ckt->CKTmode; the observed -Wformat warning recommended %ld (long int)	syntax log 59802ff5 (single warning at vbicload.c:1083:296)	bridge_row
CHG_1083_D	vbicload.c	c571a9c68e959c570b1680ff5cf6e51bab5e97071b5f49b3875360e6cffc9898	1083	                fprintf(stderr, "\n[VBIC_VRTH_TRANSITION_DIAGNOSTIC] Site: state0_writeback@1075 | stored_before: %a (isfinite=%d) | Vrth(local): %a (isfinite=%d) | state0_after_write(direct read): %a (isfinite=%d) | state1: %a (isfinite=%d) | state2: %a (isfinite=%d) | CKTtime: %g | CKTmode: %d\n",	deleted original line: transition-marker fprintf format with CKTmode %d	deleted original line	byte-exact old literal	one-conversion-only
CHG_1083_A	vbicload.c	59d875679da675ef8daedbd151e91b39b27a13ae197530af40650c62e3e75172	1083	                fprintf(stderr, "\n[VBIC_VRTH_TRANSITION_DIAGNOSTIC] Site: state0_writeback@1075 | stored_before: %a (isfinite=%d) | Vrth(local): %a (isfinite=%d) | state0_after_write(direct read): %a (isfinite=%d) | state1: %a (isfinite=%d) | state2: %a (isfinite=%d) | CKTtime: %g | CKTmode: %ld\n",	added repaired line: transition-marker fprintf format with CKTmode %ld	added repaired line	byte-exact new literal; only CKTmode %d -> %ld changed	one-conversion-only
UNCHANGED_1084	vbicload.c	c571a9c68e959c570b1680ff5cf6e51bab5e97071b5f49b3875360e6cffc9898	1084	                        stored_before, isfinite(stored_before) ? 1 : 0, Vrth, isfinite(Vrth) ? 1 : 0, *(ckt->CKTstate0 + here->VBICvrth), isfinite(*(ckt->CKTstate0 + here->VBICvrth)) ? 1 : 0, *(ckt->CKTstate1 + here->VBICvrth), isfinite(*(ckt->CKTstate1 + here->VBICvrth)) ? 1 : 0, *(ckt->CKTstate2 + here->VBICvrth), isfinite(*(ckt->CKTstate2 + here->VBICvrth)) ? 1 : 0, ckt->CKTtime, ckt->CKTmode);	unchanged original line (context)	context	fprintf argument line: argument 14 = ckt->CKTmode (long)	format pairing proof
UNCHANGED_1073	vbicload.c	c571a9c68e959c570b1680ff5cf6e51bab5e97071b5f49b3875360e6cffc9898	1073	            }	unchanged original line (context)	context	stored_before capture (unchanged)	format pairing proof
UNCHANGED_1074	vbicload.c	c571a9c68e959c570b1680ff5cf6e51bab5e97071b5f49b3875360e6cffc9898	1074		unchanged original line (context)	context	unchanged singular writeback	format pairing proof
UNCHANGED_1076	vbicload.c	c571a9c68e959c570b1680ff5cf6e51bab5e97071b5f49b3875360e6cffc9898	1076	            *(ckt->CKTstate0 + here->VBICvrth)      = Vrth;	unchanged original line (context)	context	marker comment (unchanged)	format pairing proof
UNCHANGED_1077	vbicload.c	c571a9c68e959c570b1680ff5cf6e51bab5e97071b5f49b3875360e6cffc9898	1077	            /* [VBIC_VRTH_TRANSITION_DIAGNOSTIC] read-only demonstrated-transition marker (target-gated, first-occurrence) */	unchanged original line (context)	context	once-flag declaration (unchanged)	format pairing proof
UNCHANGED_1078	vbicload.c	c571a9c68e959c570b1680ff5cf6e51bab5e97071b5f49b3875360e6cffc9898	1078	            static bool vrth_transition_printed = FALSE;	unchanged original line (context)	context	trigger part 1 (unchanged)	format pairing proof
UNCHANGED_1080	vbicload.c	c571a9c68e959c570b1680ff5cf6e51bab5e97071b5f49b3875360e6cffc9898	1080	                !vrth_transition_printed &&	unchanged original line (context)	context	trigger part 3 (unchanged)	format pairing proof
UNCHANGED_1081	vbicload.c	c571a9c68e959c570b1680ff5cf6e51bab5e97071b5f49b3875360e6cffc9898	1081	                isfinite(stored_before) && stored_before >= 0.0 &&	unchanged original line (context)	context	trigger part 4 (unchanged)	format pairing proof
UNCHANGED_1085	vbicload.c	c571a9c68e959c570b1680ff5cf6e51bab5e97071b5f49b3875360e6cffc9898	1085	                fprintf(stderr, "  tempnode RHS accumulator (current read, not a causal sum): %a (isfinite=%d)\n",	unchanged original line (context)	context	second fprintf (RHS label, unchanged)	format pairing proof
UNCHANGED_1087	vbicload.c	c571a9c68e959c570b1680ff5cf6e51bab5e97071b5f49b3875360e6cffc9898	1087	                vrth_transition_printed = TRUE;	unchanged original line (context)	context	once-flag mutation (unchanged)	format pairing proof
UNCHANGED_1088	vbicload.c	c571a9c68e959c570b1680ff5cf6e51bab5e97071b5f49b3875360e6cffc9898	1088	            }	unchanged original line (context)	context	trigger block close (unchanged)	format pairing proof
