assertion_id	source_file	source_sha256	physical_line	source_literal	classification	observed_values	upstream_v4_assertion	provenance_class
BRIDGE_SOURCE	vbicload.c	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	N/A	applied source vbicload_temp_scale_diag_v1.c (temp-scale lineage)	bridge	lines=4441; SHA bound 92123daa	lineage 752518c6 -> ... -> 2999b2af -> 92123daa	bridge_row
BRIDGE_V1_REJECT	vbicload.c	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	N/A	Audit V1 boundary rejected: post-writeback trigger `Vrth < 0.0` cannot prove a transition	bridge	line 1075 has already overwritten state0 before the proposed print; a first observed negative writeback is not a demonstrated transition; 'Vrth starts at zero' is not sufficient without the exact runtime path	Audit V1 b6bc4136 superseded for the boundary plan only	bridge_row
BRIDGE_V2_BOUNDARY	vbicload.c	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	N/A	revised smallest boundary: read-only stored_before capture immediately before the unchanged writeback; original write unchanged; target-gated once-only marker on demonstrated transition (isfinite(stored_before) && stored_before >= 0.0 && isfinite(Vrth) && Vrth < 0.0)	bridge	prints stored_before, Vrth(written), state1, state2, CKTtime, CKTmode, and the temp-node RHS accumulator labeled as a current read, not a causal sum; no circuit/model/matrix/RHS/state writes; stderr + one once flag only	Audit V2 observation plan	bridge_row
BRIDGE_SUFFICIENCY	vbicload.c	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	N/A	sufficiency analysis of the demonstrated-transition gate	bridge	(a) the predictor shift at 312-313 (state0 <- state1) can write negative state0 only if state1 was negative; state1 originates from the integration layer and from prior timepoint final values, which are written by this same 1075 writeback -> the first negative state0 within a run with non-negative initial state can only originate at a 1075 writeback, which this gate catches; (b) NaN paths are excluded by the isfinite gates, separating the transition from the later NaN limiter event (origin marker line 80); (c) residual case: a pre-existing negative initial condition (UIC/IC) never triggers the transition gate -> supplementary alternative gate: first occurrence of isfinite(stored_before) && stored_before < 0.0 (documents pre-existing negative state); (d) if the shift path were judged material, the smaller sufficient alternative is the same demonstrated-transition gate applied at the state1 read site (line 241) - one extra site, not smaller; the single 1075 site remains the minimal plan	mode/iteration semantics reviewed; writeback executes once per load (not looped)	bridge_row
UNCHANGED_1890	vbicload.c	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	1890	    Tini=2.731500e+02+p[0];	lifecycle	Tini = 273.15 + p[0]	unchanged original line (context)	unchanged_original
UNCHANGED_1891	vbicload.c	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	1891	    Tdev=(2.731500e+02+p[0])+(*Vrth);	lifecycle	Tdev = Tini + *Vrth (measured negative -84.057 K)	unchanged original line (context)	unchanged_original
UNCHANGED_1893	vbicload.c	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	1893	    Vtv=1.380662e-23*Tdev/1.602189e-19;	lifecycle	Vtv (measured negative)	unchanged original line (context)	unchanged_original
UNCHANGED_1896	vbicload.c	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	1896	    rT=Tdev/Tini;	lifecycle	rT = Tdev/Tini (measured negative -0.28002)	unchanged original line (context)	unchanged_original
UNCHANGED_206	vbicload.c	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	206	                    Vrth = *(ckt->CKTstate0 + here->VBICvrth);	lifecycle	state0 read, origin 1 (earliest stored read)	unchanged original line (context)	unchanged_original
UNCHANGED_241	vbicload.c	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	241	                    Vrth = *(ckt->CKTstate1 + here->VBICvrth);	lifecycle	state1 read, origin 2	unchanged original line (context)	unchanged_original
UNCHANGED_308	vbicload.c	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	308	                        Vrth = (1.0 + xfact)* (*(ckt->CKTstate1 + here->VBICvrth))	lifecycle	predictor estimate, origin 6 (NaN can originate here)	unchanged original line (context)	unchanged_original
UNCHANGED_312	vbicload.c	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	312	                        *(ckt->CKTstate0 + here->VBICvrth) =	lifecycle	state0 <- state1 shift (write path for state0 in the predictor branch)	unchanged original line (context)	unchanged_original
UNCHANGED_700	vbicload.c	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	700	                    if (!vrth_origin_printed &&	lifecycle	origin-8 marker site (retained; fires on NaN of Vrth or stored)	unchanged original line (context)	unchanged_original
UNCHANGED_711	vbicload.c	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	711	                    Vrth = DEVlimitlog(Vrth,	lifecycle	DEVlimitlog limiter (substitutes stored value on invalid input)	unchanged original line (context)	unchanged_original
UNCHANGED_721	vbicload.c	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	721	            iret = vbic_4T_et_cf_fj(p	lifecycle	model call with &Vrth (measured call value -384.236, finite)	unchanged original line (context)	unchanged_original
UNCHANGED_1075	vbicload.c	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	1075	            *(ckt->CKTstate0 + here->VBICvrth)      = Vrth;	lifecycle	state0 writeback anchor for the revised boundary (unchanged, byte-exact, executes once per load)	unchanged original line (context)	unchanged_original
UNCHANGED_1543	vbicload.c	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	1543	                *(ckt->CKTrhs + here->VBICtempNode) += -rhs_current;	lifecycle	Cth element: CKTrhs[tempNode] += -rhs_current	unchanged original line (context)	unchanged_original
UNCHANGED_1634	vbicload.c	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	1634	                *(ckt->CKTrhs + here->VBICtempNode) += rhs_current;	lifecycle	Ith element: CKTrhs[tempNode] += rhs_current (stamp marker fired here)	unchanged original line (context)	unchanged_original
PROP_001	vbicload.c	PROPOSED	N/A	            double stored_before = *(ckt->CKTstate0 + here->VBICvrth);	pre-trigger read-only capture of the stored state0 value, immediately BEFORE the unchanged writeback; executes once per load; reads state0 only	proposed line 1 of 14 (documented only; no patch produced)	insertion anchor: line 1075 writeback	proposed_line
PROP_002	vbicload.c	PROPOSED	N/A	            *(ckt->CKTstate0 + here->VBICvrth)      = Vrth;	UNCHANGED original writeback (context; byte-exact; executes once per load)	proposed line 2 of 14 (documented only; no patch produced)	insertion anchor: line 1075 writeback	proposed_line
PROP_003	vbicload.c	PROPOSED	N/A	            /* [VBIC_VRTH_TRANSITION_DIAGNOSTIC] read-only demonstrated-transition marker (target-gated, first-occurrence) */	non-executable comment preceding the runtime trigger	proposed line 3 of 14 (documented only; no patch produced)	insertion anchor: line 1075 writeback	proposed_line
PROP_004	vbicload.c	PROPOSED	N/A	            static bool vrth_transition_printed = FALSE;	once-flag declaration preceding the runtime trigger (static FALSE initializer = declaration initialization)	proposed line 4 of 14 (documented only; no patch produced)	insertion anchor: line 1075 writeback	proposed_line
PROP_005	vbicload.c	PROPOSED	N/A	            if ((here->VBICname && strcmp(here->VBICname, "q.xdiv2.xqs_comp_s.qnpn13g2") == 0) &&	runtime trigger part 1: exact-instance predicate	proposed line 5 of 14 (documented only; no patch produced)	insertion anchor: line 1075 writeback	proposed_line
PROP_006	vbicload.c	PROPOSED	N/A	                !vrth_transition_printed &&	runtime trigger part 2: first-occurrence	proposed line 6 of 14 (documented only; no patch produced)	insertion anchor: line 1075 writeback	proposed_line
PROP_007	vbicload.c	PROPOSED	N/A	                isfinite(stored_before) && stored_before >= 0.0 &&	runtime trigger part 3: stored state demonstrated non-negative before the write	proposed line 7 of 14 (documented only; no patch produced)	insertion anchor: line 1075 writeback	proposed_line
PROP_008	vbicload.c	PROPOSED	N/A	                isfinite(Vrth) && Vrth < 0.0) {	runtime trigger part 4: written value demonstrated negative and finite -> DEMONSTRATED TRANSITION	proposed line 8 of 14 (documented only; no patch produced)	insertion anchor: line 1075 writeback	proposed_line
PROP_009	vbicload.c	PROPOSED	N/A	                fprintf(stderr, "\n[VBIC_VRTH_TRANSITION_DIAGNOSTIC] Site: state0_writeback@1075 | stored_before: %a (isfinite=%d) | Vrth(written): %a (isfinite=%d) | state1: %a (isfinite=%d) | state2: %a (isfinite=%d) | CKTtime: %g | CKTmode: %d\n",	trigger-contained diagnostic-output side effect (stderr)	proposed line 9 of 14 (documented only; no patch produced)	insertion anchor: line 1075 writeback	proposed_line
PROP_010	vbicload.c	PROPOSED	N/A	                        stored_before, isfinite(stored_before) ? 1 : 0, Vrth, isfinite(Vrth) ? 1 : 0, *(ckt->CKTstate1 + here->VBICvrth), isfinite(*(ckt->CKTstate1 + here->VBICvrth)) ? 1 : 0, *(ckt->CKTstate2 + here->VBICvrth), isfinite(*(ckt->CKTstate2 + here->VBICvrth)) ? 1 : 0, ckt->CKTtime, ckt->CKTmode);	trigger-contained fprintf argument line (reads locals and CKTstate1/state2/CKTtime/CKTmode only)	proposed line 10 of 14 (documented only; no patch produced)	insertion anchor: line 1075 writeback	proposed_line
PROP_011	vbicload.c	PROPOSED	N/A	                fprintf(stderr, "  tempnode RHS accumulator (current read, not a causal sum): %a (isfinite=%d)\n",	trigger-contained diagnostic-output side effect (stderr)	proposed line 11 of 14 (documented only; no patch produced)	insertion anchor: line 1075 writeback	proposed_line
PROP_012	vbicload.c	PROPOSED	N/A	                        *(ckt->CKTrhs + here->VBICtempNode), isfinite(*(ckt->CKTrhs + here->VBICtempNode)) ? 1 : 0);	trigger-contained fprintf argument line; RHS value labeled EXACTLY as the current accumulator read, not a causal sum	proposed line 12 of 14 (documented only; no patch produced)	insertion anchor: line 1075 writeback	proposed_line
PROP_013	vbicload.c	PROPOSED	N/A	                vrth_transition_printed = TRUE;	trigger-contained runtime once-flag mutation	proposed line 13 of 14 (documented only; no patch produced)	insertion anchor: line 1075 writeback	proposed_line
PROP_014	vbicload.c	PROPOSED	N/A	            }	trigger block close	proposed line 14 of 14 (documented only; no patch produced)	insertion anchor: line 1075 writeback	proposed_line
