artifact_id	public_file	original_size	original_sha256	public_size	public_sha256	status	description
fresh_v1_script	evidence/syntax/fresh-v1/syntax-script.public.sh	3605	f726b2cba3e39e45c3b71d8b137de7d7f8d7825a9ea9b3817cc8f29f864a5fc8	3482	0c06cd5c04a92cc37cd98cb03806be133bfdce0e3fd74f3f1968810a5b7a66bc	published_path_sanitized	$SOURCE_ARCHIVE $CANDIDATE_ROOT and $FRESH_SYNTAX_ROOT substitutions; reversed exactly.
fresh_v1_apply_p1_to_p7	evidence/syntax/fresh-v1/apply_p1.public.log through apply_p7.public.log	51_each	82ee1c82ff3bbec0b0a4f5f8710ceed31003b94b48a4dcbdf997a4550a6b1bb8_each	51_each	82ee1c82ff3bbec0b0a4f5f8710ceed31003b94b48a4dcbdf997a4550a6b1bb8_each	published_exact	Seven nonempty apply logs.
fresh_v1_lineage	evidence/syntax/fresh-v1/lineage.public.log	884	fd85c9f36f2abc8916b6835a8303094c5bf9bf9470b06bf6505f80881232090b	884	fd85c9f36f2abc8916b6835a8303094c5bf9bf9470b06bf6505f80881232090b	published_exact	Fresh seven-patch lineage and unconfigured-state record.
fresh_v1_syntax	evidence/syntax/fresh-v1/syntax.public.log	697	77c9adacf1096fc9c091ed9059e638de2c1c2b658ecd197244d839261bd67cef	697	77c9adacf1096fc9c091ed9059e638de2c1c2b658ecd197244d839261bd67cef	published_exact	Exit 1 solely because generated config.h was absent.
configure_script	evidence/syntax/configured-v1-v2/configure-script.public.sh	4099	5a5f6be593165124a3709d676784a0fca7c3a64ce187759d821d37bd544819fb	3978	adaa995d19ffa3d0585e4ac05a6990584700e8004f45623221c348603ae3ffce	published_path_sanitized	$SOURCE_ARCHIVE $CANDIDATE_ROOT and $CONFIGURED_SYNTAX_ROOT substitutions; reversed exactly.
configure_pre	evidence/syntax/configured-v1-v2/pre_configure.public.log	352	eb854f24f276f9cd01881b2d279f547cab4f982305e078adf42a2509a9125e61	352	eb854f24f276f9cd01881b2d279f547cab4f982305e078adf42a2509a9125e61	published_exact	Fresh unconfigured-state record.
configure_apply_p1_to_p7	evidence/syntax/configured-v1-v2/apply_p1.public.log through apply_p7.public.log	51_each	82ee1c82ff3bbec0b0a4f5f8710ceed31003b94b48a4dcbdf997a4550a6b1bb8_each	51_each	82ee1c82ff3bbec0b0a4f5f8710ceed31003b94b48a4dcbdf997a4550a6b1bb8_each	published_exact	Seven nonempty apply logs.
configure_lineage	evidence/syntax/configured-v1-v2/lineage.public.log	553	87d6e10de8f74f597a401a77a0422a1371507acc05ebcf025c33c4ccd84eae21	553	87d6e10de8f74f597a401a77a0422a1371507acc05ebcf025c33c4ccd84eae21	published_exact	Seven exits and hashes.
configure_log	evidence/syntax/configured-v1-v2/configure.public.log	17612	a75b6c4034c50bea9033fbfa0920b46ad1c8d5122154003cbc4d29485234bde6	17659	c94776509039d80e8b973076bf07d2aff8092c3d6364e397e9d5e2ff328b5d91	published_path_sanitized	$CONFIGURED_SYNTAX_ROOT $SYSTEM_BIN and $PROC_ROOT substitutions; reversed exactly; exit 0.
configure_post	evidence/syntax/configured-v1-v2/post_configure.public.log	354	609762c933751e4f3d09dcb345bb9e6a0e214c9cdd5f9eeac2eeae7e04d01423	336	8619bf60e912714e48ff22a2244af99c5f4b9ddcab475b5649c86f752a12271f	published_path_sanitized	$CONFIGURED_SYNTAX_ROOT substitution; reversed exactly; no objects or executable.
configured_v1_syntax	evidence/syntax/configured-v1-v2/syntax_v1.public.log	4120	59802ff51a64eff357342706a111fa516142f279fd9f0773bccac350218ddd0f	4120	59802ff51a64eff357342706a111fa516142f279fd9f0773bccac350218ddd0f	published_exact	Exit 0 with one CKTmode format warning.
v2_syntax_script	evidence/syntax/configured-v1-v2/syntax-v2-script.public.sh	2149	f30c4dc983637480099382b40a864ad162e4065812c74b85f0500acca0e5c09f	2017	1dd1d51abd79a523a8567f83aaad06aebf8d2ee67a8cb0233a5e139b2b10f0e8	published_path_sanitized	$CONFIGURED_SYNTAX_ROOT and $CANDIDATE_ROOT substitutions; reversed exactly.
configured_v2_syntax	evidence/syntax/configured-v1-v2/syntax_v2.public.log	1024	31e6c6e9009f356b29b378c13782caae96b009971f114753738c552dcf6edb9e	1024	31e6c6e9009f356b29b378c13782caae96b009971f114753738c552dcf6edb9e	published_exact	Exit 0 with no compiler output; configured-tree source unchanged.
