assertion_id	source_file	source_sha256	physical_line	source_literal	classification	observed_values	upstream_v4_assertion	provenance_class
BRIDGE_SOURCE	vbicload.c	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	N/A	applied source vbicload_temp_scale_diag_v1.c (temp-scale lineage)	bridge	lines=4441; SHA bound 92123daa	lineage 752518c6 -> ... -> 2999b2af -> 92123daa	bridge_row
BRIDGE_EVIDENCE	vbicload.c	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	N/A	retained runtime evidence (native log 5a833f92, temp-scale run 15:39:55-57Z)	bridge	marker lines: temp-scale 3, ibe-source 7, term 12, decomp 42, stamp 77, origin-8 80, warnings 84-85	executable 3a4419de, deck 46e7f223, netlist 689d4bee	bridge_row
BRIDGE_SEPARATION	vbicload.c	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	N/A	measured vs static-interpretation separation	bridge	MEASURED rows carry values printed by retained markers; INTERPRETED rows are static reading of source/devsup semantics only	no causal claim from either class	bridge_row
MEAS_TDEV	vbicload.c	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	1891	    Tdev=(2.731500e+02+p[0])+(*Vrth);	measured	Tdev=(273.15+p[0])+*Vrth; marker value Tdev=-0x1.5025bf1640888p+6 (isfinite=1) [log line 3]	Tdev = Tini + *Vrth; measured negative	unchanged_original
MEAS_VTV	vbicload.c	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	1893	    Vtv=1.380662e-23*Tdev/1.602189e-19;	measured	Vtv=1.380662e-23*Tdev/1.602189e-19; marker value Vtv=-0x1.da9861fa26caap-8 (isfinite=1) [log line 3]	thermal voltage negative because Tdev negative	unchanged_original
MEAS_RT	vbicload.c	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	1896	    rT=Tdev/Tini;	measured	rT=Tdev/Tini; marker value rT=-0x1.1eb3d5166ee8p-2 (isfinite=1) [log line 3]	negative temperature ratio	unchanged_original
STATIC_TINI	vbicload.c	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	1890	    Tini=2.731500e+02+p[0];	interpreted	Tini=2.731500e+02+p[0]; with measured Tdev and *Vrth: p[0]=Tdev-273.15-*Vrth = -84.057-273.15+384.236 = 27.029 K, i.e. Tini=300.179 K (PROVISIONAL arithmetic; p[0] not directly printed)	Tini derived from measured Tdev/Vrth; not directly measured	unchanged_original
LIFE_STATE0_READ	vbicload.c	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	206	                    Vrth = *(ckt->CKTstate0 + here->VBICvrth);	lifecycle	Vrth = *(ckt->CKTstate0 + here->VBICvrth); origin=1 (VRTH_ASSIGN_SMSIG, 207-208) — earliest stored-value read in the load	stored thermal-node voltage read from state0	unchanged_original
LIFE_STATE1_READ	vbicload.c	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	241	                    Vrth = *(ckt->CKTstate1 + here->VBICvrth);	lifecycle	Vrth = *(ckt->CKTstate1 + here->VBICvrth); origin=2 (VRTH_ASSIGN_INITTRAN, 242-243) — previous-timepoint read	MODEINITTRAN path	unchanged_original
LIFE_PREDICTOR	vbicload.c	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	308	                        Vrth = (1.0 + xfact)* (*(ckt->CKTstate1 + here->VBICvrth))	lifecycle	Vrth = (1.0+xfact)*state1 - xfact*state2; origin=6 (VRTH_ASSIGN_PREDICTOR, 310) — trapezoidal/predictor estimate; state0<-state1 shift at 312-313	transient predictor path; NaN can originate in this arithmetic	unchanged_original
LIFE_ORIGIN_MARKER	vbicload.c	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	700	                    if (!vrth_origin_printed &&	measured	retained origin-8 marker (V2 patch): fires on isnan(Vrth) || isnan(stored); runtime: Origin 8, OriginScalar -nan (isnan=1), Vrth(current) -nan, Vrth(stored) -0x1.802fd62bf6888p+8 (isnan=0) [log line 80]	stored state0 was FINITE and NEGATIVE at the NaN limiter event; current/predicted Vrth was NaN	added_statement
LIFE_LIMITER	vbicload.c	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	711	                    Vrth = DEVlimitlog(Vrth,	interpreted	Vrth = DEVlimitlog(Vrth, *(ckt->CKTstate0 + here->VBICvrth), 100, &ichk6); limiter substitutes the stored value when the input is invalid (devsup.c semantics); origin name 'tempnode_load_line_484'	the model call therefore received the STORED negative value	unchanged_original
LIFE_CALL	vbicload.c	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	721	            iret = vbic_4T_et_cf_fj(p	lifecycle	iret = vbic_4T_et_cf_fj(p ,&Vrth, ...); *Vrth entered the model = -0x1.802fd62bf6888p+8 (isfinite=1) [ibe-source marker log line 7]	measured call-boundary value is the limiter-substituted stored value	unchanged_original
LIFE_STATE0_WRITE	vbicload.c	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	1075	            *(ckt->CKTstate0 + here->VBICvrth)      = Vrth;	lifecycle	*(ckt->CKTstate0 + here->VBICvrth) = Vrth; — state0 writeback after the model call; this is where a negative Vrth first becomes the stored value	the writeback site is the transition-creation point	unchanged_original
RHS_CTH	vbicload.c	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	1543	                *(ckt->CKTrhs + here->VBICtempNode) += -rhs_current;	lifecycle	*(ckt->CKTrhs + here->VBICtempNode) += -rhs_current; (Cth element; stamp diagnostics wrap pre/post reads 1542/1544)	Cth thermal-capacitance contribution to the temp-node RHS	unchanged_original
RHS_ITH	vbicload.c	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	1634	                *(ckt->CKTrhs + here->VBICtempNode) += rhs_current;	measured	*(ckt->CKTrhs + here->VBICtempNode) += rhs_current; (Ith element; stamp marker STAMP_ITH_RHS@1472 fired here: Pre 0x0p+0 finite, Contribution -nan, Post -nan [log line 77])	Ith power-current contribution; the RHS accumulation itself observed finite->non-finite at the stamp boundary	unchanged_original
ARITH_P0	vbicload.c	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	N/A	derived consistency of measured values	interpreted	Tdev = Tini + *Vrth: -84.057 = (273.15+p[0]) - 384.236 -> p[0] = 27.029 K, Tini = 300.179 K; rT = -84.057/300.179 = -0.28002 = -0x1.1eb3d5166ee8p-2 matches the measured rT exactly; *Vrth = Tdev - Tini = -384.236 = -0x1.802fd62bf6888p+8 matches the measured stored value exactly	cross-marker arithmetic consistency (PROVISIONAL; p[0]/Tini not directly printed)	bridge_row
OBS_BOUNDARY	vbicload.c	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	1075	            *(ckt->CKTstate0 + here->VBICvrth)      = Vrth;	observation_recommendation	smallest single read-only boundary: immediately after line 1075 (unchanged state0 writeback), target-gated (inline here->VBICname && strcmp predicate, same as origin marker) + static once-flag + first occurrence of Vrth < 0.0; prints Vrth (local), ckt->CKTtime, stored state0, state1, state2, and the temp-node RHS sum (read-only); no matrix/RHS/state/model writes, stderr + once flag only; fires at the FIRST load where the written-back stored Vrth is negative, which (Vrth starting at 0 at t=0) is the first transition to negative — before any NaN/limiter event; ordering of this marker vs the origin-8 marker (line 80) separates transition-first from NaN-first; alternative: after line 206 (state0 read) gated on first negative stored value	distinguishes first upstream transition to negative stored Vrth from the later NaN limiter event	bridge_row
