assertion_id	source_file	source_sha256	physical_line	source_literal	classification	observed_values	upstream_v4_assertion	provenance_class
BRIDGE_BASE	vbicload.c	2999b2afa9a34fdd501f02a2312be2b98f5f5f57c9d7bd0637321a61aa581075	N/A	byte-exact base vbicload.c (Ibe-source V2 applied source)	bridge	base lines=4430; SHA bound 2999b2af	lineage official 752518c6 -> ... -> 01cc4f1f -> 2999b2af	bridge_row
BRIDGE_PATCH	vbicload.c	057d991b8a24e909031dec51378389b6c47fa46d7a611cd2ffa275d498d10f92	N/A	NGSPICE46-VBIC-TEMP-SCALE-DIAGNOSTIC-V1.patch (SHA-256 057d991b8a24e909031dec51378389b6c47fa46d7a611cd2ffa275d498d10f92, 1663 B)	bridge	numstat 11 additions / 0 deletions; patch dry-run exit 0; git apply --check exit 0; numstat cmd 11 0 spicelib/devices/vbic/vbicload.c; fresh -p0 apply byte-identical=True	applies to base 2999b2af	bridge_row
BRIDGE_APPLIED	vbicload.c	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	N/A	final applied source vbicload_temp_scale_diag_v1.c	bridge	applied lines=4441	base + patch	bridge_row
BRIDGE_SYNTAX	vbicload.c	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	N/A	syntax-only compile; immutable log NGSPICE46-VBIC-TEMP-SCALE-DIAGNOSTIC-SYNTAX-V1.log (SHA-256 8d5bec5c75a7246da243b858176652a42d1e7bd571884321944b20a673e7d4f9, 682 B)	bridge	exit 0; command/output/exit preserved in standalone log	no configured build / no executable / no simulation	bridge_row
BRIDGE_TRIGGER	vbicload.c	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	N/A	trigger = caller-passed IbeDiagActive (exact instance q.xdiv2.xqs_comp_s.qnpn13g2, computed at the model call site by the retained Ibe-source V2 patch) && !temp_scale_diag_printed && !isfinite(IBEIatT); inserted immediately after unchanged IBEIatT=p[31]*xvar6; (01cc4f1f@2038 = 2999b2af@2039); reads only locals/call inputs/model-parameter array p[]; no circuit/model/matrix/RHS/state writes; stderr + one once flag only; no evaluator arithmetic changed or recomputed; all existing diagnostic code preserved byte-for-byte	bridge	prints Tdev, Vtv, rT, p[79], xvar2, p[72], xvar3, xvar4, xvar1, p[33], xvar5, xvar6, p[31], IBEIatT in exact execution order	requirement 1-5	bridge_row
ADD_001	vbicload.c	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	2040	    /* [VBIC_TEMP_SCALE_DIAGNOSTIC] read-only IBEIatT temperature-scaling decomposition (exact-instance gated via caller-passed IbeDiagActive; first-occurrence) */	non-executable comment preceding the runtime trigger (comment itself is not exact-instance gated)	/* [VBIC_TEMP_SCALE_DIAGNOSTIC] read-only IBEIatT temperature-scaling decomposit	added line 1 of 11	added_statement
ADD_002	vbicload.c	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	2041	    static bool temp_scale_diag_printed = FALSE;	once-flag declaration preceding the runtime trigger (static FALSE initializer = declaration initialization)	static bool temp_scale_diag_printed = FALSE;	added line 2 of 11	added_statement
ADD_003	vbicload.c	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	2042	    if (IbeDiagActive && !temp_scale_diag_printed && !isfinite(IBEIatT)) {	runtime trigger = caller-passed IbeDiagActive && !temp_scale_diag_printed && !isfinite(IBEIatT)	if (IbeDiagActive && !temp_scale_diag_printed && !isfinite(IBEIatT)) {	added line 3 of 11	added_statement
ADD_004	vbicload.c	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	2043	        fprintf(stderr, "\n[VBIC_TEMP_SCALE_DIAGNOSTIC] BaseAssignment: 01cc4f1f@2038 (2999b2af@2039) | Tdev: %a (isfinite=%d) | Vtv: %a (isfinite=%d) | rT: %a (isfinite=%d) | p[79]: %a (isfinite=%d) | xvar2: %a (isfinite=%d)\n",	trigger-contained diagnostic-output side effect: fprintf to stderr (inside trigger block)	fprintf(stderr, "\n[VBIC_TEMP_SCALE_DIAGNOSTIC] BaseAssignment: 01cc4f1f@2038 (2	added line 4 of 11	added_statement
ADD_005	vbicload.c	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	2044	                Tdev, isfinite(Tdev) ? 1 : 0, Vtv, isfinite(Vtv) ? 1 : 0, rT, isfinite(rT) ? 1 : 0, p[79], isfinite(p[79]) ? 1 : 0, xvar2, isfinite(xvar2) ? 1 : 0);	trigger-contained fprintf argument line reading locals/call inputs/p[] only (inside trigger block)	Tdev, isfinite(Tdev) ? 1 : 0, Vtv, isfinite(Vtv) ? 1 : 0, rT, isfinite(rT) ? 1 :	added line 5 of 11	added_statement
