assertion_id	source_file	source_sha256	physical_line	source_literal	classification	observed_values	upstream_v4_assertion	provenance_class
BRIDGE_BASE	vbicload.c	92123daa3d880ac25960b8758b1e4cb4440fc55cb30f100c5750b5aa20c3e292	N/A	byte-exact base vbicload.c (temp-scale V1 applied source)	bridge	base lines=4441; SHA bound 92123daa	lineage 752518c6 -> ... -> 2999b2af -> 92123daa	bridge_row
BRIDGE_PATCH	vbicload.c	b57d3ff0d1fcceca97c48c62e5a1c992110a10997db4f564ad5e7a08a9eba16d	N/A	NGSPICE46-VBIC-VRTH-TRANSITION-DIAGNOSTIC-V1.patch (SHA-256 b57d3ff0d1fcceca97c48c62e5a1c992110a10997db4f564ad5e7a08a9eba16d, 1905 B)	bridge	numstat 13 additions / 0 deletions; patch dry-run exit 0; git apply --check exit 0; numstat cmd 13 0 spicelib/devices/vbic/vbicload.c; fresh -p0 apply byte-identical=True	applies to base 92123daa	bridge_row
BRIDGE_APPLIED	vbicload.c	c571a9c68e959c570b1680ff5cf6e51bab5e97071b5f49b3875360e6cffc9898	N/A	final applied source vbicload_vrth_transition_diag_v1.c	bridge	applied lines=4454	base + patch	bridge_row
BRIDGE_WRITEBACK	vbicload.c	c571a9c68e959c570b1680ff5cf6e51bab5e97071b5f49b3875360e6cffc9898	N/A	unchanged writeback proof	bridge	writeback literal '*(ckt->CKTstate0 + here->VBICvrth)      = Vrth;' occurs exactly 1 time(s) in the applied source and byte-matches base line 1075; same execution position (context line between the stored_before capture and the marker block); executes once per load	requirement: byte-exact and singular	bridge_row
BRIDGE_TRIGGER	vbicload.c	c571a9c68e959c570b1680ff5cf6e51bab5e97071b5f49b3875360e6cffc9898	N/A	trigger = exact-instance predicate && !vrth_transition_printed && isfinite(stored_before) && stored_before >= 0.0 && isfinite(Vrth) && Vrth < 0.0 (demonstrated finite non-negative -> negative transition); no evaluator/limiter/matrix/RHS/model/state arithmetic recomputed	bridge	prints stored_before, Vrth(local), state0_after_write (DIRECT post-write state0 read), state1, state2, CKTtime, CKTmode, and the temp-node RHS accumulator labeled 'current read, not a causal sum'; writes: stderr + once flag only	Audit V2 plan 62b603d0	bridge_row
ADD_001	vbicload.c	c571a9c68e959c570b1680ff5cf6e51bab5e97071b5f49b3875360e6cffc9898	1075	            double stored_before = *(ckt->CKTstate0 + here->VBICvrth);	pre-trigger read-only capture of stored state0 (immediately before unchanged writeback; executes once per load; reads state0 only)	double stored_before = *(ckt->CKTstate0 + here->VBICvrth);	added line 1 of 13	added_statement
ADD_002	vbicload.c	c571a9c68e959c570b1680ff5cf6e51bab5e97071b5f49b3875360e6cffc9898	1077	            /* [VBIC_VRTH_TRANSITION_DIAGNOSTIC] read-only demonstrated-transition marker (target-gated, first-occurrence) */	non-executable comment preceding the runtime trigger	/* [VBIC_VRTH_TRANSITION_DIAGNOSTIC] read-only demonstrated-transition marker (t	added line 2 of 13	added_statement
ADD_003	vbicload.c	c571a9c68e959c570b1680ff5cf6e51bab5e97071b5f49b3875360e6cffc9898	1078	            static bool vrth_transition_printed = FALSE;	once-flag declaration preceding the runtime trigger (static FALSE initializer = declaration initialization)	static bool vrth_transition_printed = FALSE;	added line 3 of 13	added_statement
ADD_004	vbicload.c	c571a9c68e959c570b1680ff5cf6e51bab5e97071b5f49b3875360e6cffc9898	1079	            if ((here->VBICname && strcmp(here->VBICname, "q.xdiv2.xqs_comp_s.qnpn13g2") == 0) &&	runtime trigger part 1-4 (exact-instance predicate; once flag; finite stored_before >= 0; finite Vrth < 0)	if ((here->VBICname && strcmp(here->VBICname, "q.xdiv2.xqs_comp_s.qnpn13g2") == 	added line 4 of 13	added_statement
ADD_005	vbicload.c	c571a9c68e959c570b1680ff5cf6e51bab5e97071b5f49b3875360e6cffc9898	1080	                !vrth_transition_printed &&	trigger-contained fprintf argument line (reads locals + direct post-write state0 + state1/state2/CKTtime/CKTmode/RHS accumulator only)	!vrth_transition_printed &&	added line 5 of 13	added_statement
ADD_006	vbicload.c	c571a9c68e959c570b1680ff5cf6e51bab5e97071b5f49b3875360e6cffc9898	1081	                isfinite(stored_before) && stored_before >= 0.0 &&	runtime trigger continuation line	isfinite(stored_before) && stored_before >= 0.0 &&	added line 6 of 13	added_statement
