assertion_id	source_file	source_sha256	source_location	source_literal	authority_class	establishes	unresolved_detail
HBT_MOD_LINE_041	$PDK_ROOT/libs.tech/ngspice/models/sg13g2_hbt_mod.lib	ae9288f885dd30fab24b07ed1e7e02e69eac9154022a0a6da576985183b0bd79	Line 41	.subckt npn13G2 c b e bn 	pdk_model_wrapper_header	Declares 4-terminal user subcircuit npn13G2 (c, b, e, bn).	Does not declare terminal t in subcircuit header.
HBT_MOD_LINE_045	$PDK_ROOT/libs.tech/ngspice/models/sg13g2_hbt_mod.lib	ae9288f885dd30fab24b07ed1e7e02e69eac9154022a0a6da576985183b0bd79	Line 45	+selft=1	pdk_model_parameter_default	Self-heating parameter selft defaults to 1 (enabled) in npn13G2 wrapper.	None.
HBT_MOD_LINE_048	$PDK_ROOT/libs.tech/ngspice/models/sg13g2_hbt_mod.lib	ae9288f885dd30fab24b07ed1e7e02e69eac9154022a0a6da576985183b0bd79	Line 48	Qnpn13G2 c b e s1 t npn13G2_NX_vbic dtemp=dtemp m=1	pdk_model_device_instantiation	Instantiates core device Qnpn13G2 of model npn13G2_NX_vbic with nodes c, b, e, s1, t.	Connects 5th terminal of core device Qnpn13G2 to internal node t.
HBT_MOD_LINE_118	$PDK_ROOT/libs.tech/ngspice/models/sg13g2_hbt_mod.lib	ae9288f885dd30fab24b07ed1e7e02e69eac9154022a0a6da576985183b0bd79	Line 118	+ cth = '1.60E-12*(Nx*0.25)**0.95'	pdk_model_parameter_equation	Defines thermal capacitance cth equation scaling with Nx.	Physical unit J/K is inferred from thermal capacitor physics, not explicitly named on line 118.
HBT_MOD_LINE_119	$PDK_ROOT/libs.tech/ngspice/models/sg13g2_hbt_mod.lib	ae9288f885dd30fab24b07ed1e7e02e69eac9154022a0a6da576985183b0bd79	Line 119	+ rth = '1*selft*3.26E+03*(4/Nx)**0.9'	pdk_model_parameter_equation	Defines thermal resistance rth equation scaling with selft and Nx.	Physical unit K/W is inferred from thermal resistor physics, not explicitly named on line 119.
HBT_MOD_LINE_143	$PDK_ROOT/libs.tech/ngspice/models/sg13g2_hbt_mod.lib	ae9288f885dd30fab24b07ed1e7e02e69eac9154022a0a6da576985183b0bd79	Line 143	Rt t 0 R = 1e9	pdk_model_netlist_element	Instantiates a 1 Gohm resistor Rt between internal node t and node 0 (GND).	Defines 1 Gohm topology between node t and 0. Does not state a functional purpose on line 143.
HBT_MOD_LINE_147	$PDK_ROOT/libs.tech/ngspice/models/sg13g2_hbt_mod.lib	ae9288f885dd30fab24b07ed1e7e02e69eac9154022a0a6da576985183b0bd79	Line 147	* the fifth terminal is temperature output	pdk_model_comment	States comment: * the fifth terminal is temperature output.	Comment applies to subcircuit npn13G2_5t (declared on line 149). Does not establish absolute vs delta-T unit.
HBT_MOD_LINE_149	$PDK_ROOT/libs.tech/ngspice/models/sg13g2_hbt_mod.lib	ae9288f885dd30fab24b07ed1e7e02e69eac9154022a0a6da576985183b0bd79	Line 149	.subckt npn13G2_5t c b e bn t	pdk_model_wrapper_header	Declares 5-terminal subcircuit npn13G2_5t (c, b, e, bn, t).	Exposes 5th terminal t as an explicit subcircuit pin.
HBT_MOD_LINE_153	$PDK_ROOT/libs.tech/ngspice/models/sg13g2_hbt_mod.lib	ae9288f885dd30fab24b07ed1e7e02e69eac9154022a0a6da576985183b0bd79	Line 153	+selft=1	pdk_model_parameter_default	Self-heating parameter selft defaults to 1 (enabled) in npn13G2_5t wrapper.	None.
HBT_MOD_LINE_156	$PDK_ROOT/libs.tech/ngspice/models/sg13g2_hbt_mod.lib	ae9288f885dd30fab24b07ed1e7e02e69eac9154022a0a6da576985183b0bd79	Line 156	Qnpn13G2 c b e s1 t npn13G2_NX_vbic dtemp=dtemp m=1	pdk_model_device_instantiation	Instantiates core device Qnpn13G2 of model npn13G2_NX_vbic with nodes c, b, e, s1, t.	Connects 5th terminal of core device Qnpn13G2 directly to exposed subcircuit pin t.
HBT_MOD_LINE_226	$PDK_ROOT/libs.tech/ngspice/models/sg13g2_hbt_mod.lib	ae9288f885dd30fab24b07ed1e7e02e69eac9154022a0a6da576985183b0bd79	Line 226	+ cth = '1.60E-12*(Nx*0.25)**0.95'	pdk_model_parameter_equation	Defines cth equation in additional model section.	Physical unit J/K is inferred from thermal capacitor physics.
HBT_MOD_LINE_227	$PDK_ROOT/libs.tech/ngspice/models/sg13g2_hbt_mod.lib	ae9288f885dd30fab24b07ed1e7e02e69eac9154022a0a6da576985183b0bd79	Line 227	+ rth = '1*selft*3.26E+03*(4/Nx)**0.9'	pdk_model_parameter_equation	Defines rth equation in additional model section.	Physical unit K/W is inferred from thermal resistor physics.
HBT_MOD_LINE_251	$PDK_ROOT/libs.tech/ngspice/models/sg13g2_hbt_mod.lib	ae9288f885dd30fab24b07ed1e7e02e69eac9154022a0a6da576985183b0bd79	Line 251	Rt t 0 R = 1e9	pdk_model_netlist_element	Instantiates 1 Gohm resistor Rt in additional model section.	Defines 1 Gohm topology between node t and 0.
