assertion_id	source_package	source_file	source_sha256	source_location	source_literal	authority_class	establishes	unresolved_detail
DEVLIMITLOG_DECLARATION_COMMENT	ngspice-46.tar.gz	src/spicelib/devices/devsup.c	67efb2b8872ad791243ca4ddce55f2a10f4bf92376e0a3ebf1f208efa014633b	Line 153	/* DEVlimitlog(deltemp, deltemp_old, LIM_TOL, check)	c_source_function_comment	Declares function signature DEVlimitlog(deltemp, deltemp_old, LIM_TOL, check).	None.
DEVLIMITLOG_PURPOSE_COMMENT	ngspice-46.tar.gz	src/spicelib/devices/devsup.c	67efb2b8872ad791243ca4ddce55f2a10f4bf92376e0a3ebf1f208efa014633b	Line 154	 * Logarithmic damping the per-iteration change of deltemp beyond LIM_TOL.	c_source_function_comment	States purpose: Logarithmic damping the per-iteration change of deltemp beyond LIM_TOL.	None.
DEVLIMITLOG_STATIC_ONCE_FLAG	ngspice-46.tar.gz	src/spicelib/devices/devsup.c	67efb2b8872ad791243ca4ddce55f2a10f4bf92376e0a3ebf1f208efa014633b	Line 163	    static bool shown = FALSE;	c_source_variable_declaration	Declares static boolean flag shown initialized to FALSE.	Ensures warning message is emitted at most once during process execution.
DEVLIMITLOG_NAN_CONDITION	ngspice-46.tar.gz	src/spicelib/devices/devsup.c	67efb2b8872ad791243ca4ddce55f2a10f4bf92376e0a3ebf1f208efa014633b	Line 165	    if (!shown && (isnan (deltemp) || isnan (deltemp_old)))	c_source_conditional_statement	Checks if (!shown && (isnan (deltemp) || isnan (deltemp_old))).	Triggers warning block when either deltemp or deltemp_old is NaN.
DEVLIMITLOG_WARNING_TEXT_1	ngspice-46.tar.gz	src/spicelib/devices/devsup.c	67efb2b8872ad791243ca4ddce55f2a10f4bf92376e0a3ebf1f208efa014633b	Line 167	        fprintf(stderr, "\n\nThe temperature limiting function received NaN.\n");	c_source_fprintf_statement	Prints text: \n\nThe temperature limiting function received NaN.\n to stderr.	Does not print instance name or node identity.
DEVLIMITLOG_WARNING_TEXT_2	ngspice-46.tar.gz	src/spicelib/devices/devsup.c	67efb2b8872ad791243ca4ddce55f2a10f4bf92376e0a3ebf1f208efa014633b	Line 168	        fprintf(stderr, "Please check your power dissipation and improve your heat sink Rth!\n");	c_source_fprintf_statement	Prints text: Please check your power dissipation and improve your heat sink Rth!\n to stderr.	Does not identify which transistor or thermal network caused NaN.
DEVLIMITLOG_WARNING_TEXT_3	ngspice-46.tar.gz	src/spicelib/devices/devsup.c	67efb2b8872ad791243ca4ddce55f2a10f4bf92376e0a3ebf1f208efa014633b	Line 169	        fprintf(stderr, "    This message will be shown only once.\n\n");	c_source_fprintf_statement	Prints text:     This message will be shown only once.\n\n to stderr.	Confirms once-only reporting policy.
DEVLIMITLOG_FALLBACK_ASSIGNMENT	ngspice-46.tar.gz	src/spicelib/devices/devsup.c	67efb2b8872ad791243ca4ddce55f2a10f4bf92376e0a3ebf1f208efa014633b	Line 170	        deltemp = 0.0;	c_source_assignment_statement	Assigns deltemp = 0.0 upon receiving NaN.	Resets deltemp to 0.0 to allow Newton-Raphson iteration loop to continue.
DEVLIMITLOG_CHECK_FLAG_SET	ngspice-46.tar.gz	src/spicelib/devices/devsup.c	67efb2b8872ad791243ca4ddce55f2a10f4bf92376e0a3ebf1f208efa014633b	Line 171	        *check = 1;	c_source_assignment_statement	Sets *check = 1 upon receiving NaN.	Signals non-convergence to Newton-Raphson solver to request iteration retry.
DEVLIMITLOG_STATIC_FLAG_SET	ngspice-46.tar.gz	src/spicelib/devices/devsup.c	67efb2b8872ad791243ca4ddce55f2a10f4bf92376e0a3ebf1f208efa014633b	Line 172	        shown = TRUE;	c_source_assignment_statement	Sets shown = TRUE upon receiving NaN.	Suppresses subsequent warning prints for the remainder of process execution.
VBIC_SELFHEAT_GUARD	ngspice-46.tar.gz	src/spicelib/devices/vbic/vbicload.c	752518c6b2c943e901ed4f20199aa80e66b04820de9db7ecae774e20a0d746f5	Line 668	                if (here->VBIC_selfheat) {	c_source_conditional_statement	Guards DEVlimitlog call with if (here->VBIC_selfheat).	DEVlimitlog is invoked during VBIC load only when self-heating parameter is enabled.
VBIC_ICHK6_SET	ngspice-46.tar.gz	src/spicelib/devices/vbic/vbicload.c	752518c6b2c943e901ed4f20199aa80e66b04820de9db7ecae774e20a0d746f5	Line 669	                    ichk6 = 1;	c_source_assignment_statement	Sets ichk6 = 1 inside self-heating block.	Initializes local check flag for thermal node limiting.
VBIC_DEVLIMITLOG_CALL_1	ngspice-46.tar.gz	src/spicelib/devices/vbic/vbicload.c	752518c6b2c943e901ed4f20199aa80e66b04820de9db7ecae774e20a0d746f5	Line 670	                    Vrth = DEVlimitlog(Vrth,	c_source_function_call	Calls Vrth = DEVlimitlog(Vrth,	Passes thermal node voltage Vrth as first argument deltemp.
VBIC_DEVLIMITLOG_CALL_2	ngspice-46.tar.gz	src/spicelib/devices/vbic/vbicload.c	752518c6b2c943e901ed4f20199aa80e66b04820de9db7ecae774e20a0d746f5	Line 671	                        *(ckt->CKTstate0 + here->VBICvrth),100,&ichk6);	c_source_function_call	Passes *(ckt->CKTstate0 + here->VBICvrth),100,&ichk6);	Passes stored state 0 thermal voltage as deltemp_old, LIM_TOL=100, and &ichk6.
VBIC_SELFHEAT_GUARD_END	ngspice-46.tar.gz	src/spicelib/devices/vbic/vbicload.c	752518c6b2c943e901ed4f20199aa80e66b04820de9db7ecae774e20a0d746f5	Line 672	                }	c_source_block_closure	Closes self-heating block }.	None.
