callsite_id	source_file	source_sha256	source_location	source_literal	record_role	establishes	unresolved_detail
diode	src/spicelib/devices/dio/dioload.c	fffaaaca5627323d69c3f31b28fbc130f20478cd2d5e165ed0e2ffbdf5334818	Line 307	                if (selfheat)	guard_condition	Checks if (here->DIOtempModel == 2) for self-heating diode model.	None.
diode	src/spicelib/devices/dio/dioload.c	fffaaaca5627323d69c3f31b28fbc130f20478cd2d5e165ed0e2ffbdf5334818	Line 308	                    delTemp = DEVlimitlog(delTemp,	call_part_1	Calls DEVlimitlog with delTemp and stored DIOtemp.	None.
diode	src/spicelib/devices/dio/dioload.c	fffaaaca5627323d69c3f31b28fbc130f20478cd2d5e165ed0e2ffbdf5334818	Line 309	                        *(ckt->CKTstate0 + here->DIOdeltemp), 100, &Check_th);	call_part_2	Passes LIM_TOL=100 and &ichk2.	None.
vdmos	src/spicelib/devices/vdmos/vdmosload.c	492fcb9390a581b20004676cff3b93d23ad8b1e4c6220755a805b730df4f6884	Line 271	                if (selfheat)	guard_condition	Checks if (here->VDMOSselfheat) for self-heating VDMOS model.	None.
vdmos	src/spicelib/devices/vdmos/vdmosload.c	492fcb9390a581b20004676cff3b93d23ad8b1e4c6220755a805b730df4f6884	Line 272	                    delTemp = DEVlimitlog(delTemp,	call_part_1	Calls DEVlimitlog with delTemp and stored VDMOStemp.	None.
vdmos	src/spicelib/devices/vdmos/vdmosload.c	492fcb9390a581b20004676cff3b93d23ad8b1e4c6220755a805b730df4f6884	Line 273	                          *(ckt->CKTstate0 + here->VDMOSdelTemp),10,&Check_th);	call_part_2	Passes LIM_TOL=100 and &ichk2.	None.
vbic	src/spicelib/devices/vbic/vbicload.c	752518c6b2c943e901ed4f20199aa80e66b04820de9db7ecae774e20a0d746f5	Line 668	                if (here->VBIC_selfheat) {	guard_condition	Checks if (here->VBIC_selfheat) for self-heating VBIC model.	None.
vbic	src/spicelib/devices/vbic/vbicload.c	752518c6b2c943e901ed4f20199aa80e66b04820de9db7ecae774e20a0d746f5	Line 669	                    ichk6 = 1;	flag_init	Sets ichk6 = 1.	None.
vbic	src/spicelib/devices/vbic/vbicload.c	752518c6b2c943e901ed4f20199aa80e66b04820de9db7ecae774e20a0d746f5	Line 670	                    Vrth = DEVlimitlog(Vrth,	call_part_1	Calls DEVlimitlog with thermal node voltage Vrth.	None.
vbic	src/spicelib/devices/vbic/vbicload.c	752518c6b2c943e901ed4f20199aa80e66b04820de9db7ecae774e20a0d746f5	Line 671	                        *(ckt->CKTstate0 + here->VBICvrth),100,&ichk6);	call_part_2	Passes stored VBICvrth state 0, LIM_TOL=100, and &ichk6.	None.
vbic	src/spicelib/devices/vbic/vbicload.c	752518c6b2c943e901ed4f20199aa80e66b04820de9db7ecae774e20a0d746f5	Line 672	                }	guard_close	Closes self-heating block }.	None.
hicum2	src/spicelib/devices/hicum2/hicumL2.cpp	0c36cc5ad0d2d586c33faf9e5d53e0b1a28998c0d9dfa404b80b6222f9eb2165	Line 1781	                if (model->HICUMselfheat) {	guard_condition	Checks if (model->HICUMselfheat) for self-heating HICUM model.	None.
hicum2	src/spicelib/devices/hicum2/hicumL2.cpp	0c36cc5ad0d2d586c33faf9e5d53e0b1a28998c0d9dfa404b80b6222f9eb2165	Line 1782	                    Vrth = DEVlimitlog(Vrth,	call_part_1	Calls DEVlimitlog with thermal node voltage Vrth.	None.
hicum2	src/spicelib/devices/hicum2/hicumL2.cpp	0c36cc5ad0d2d586c33faf9e5d53e0b1a28998c0d9dfa404b80b6222f9eb2165	Line 1783	                        *(ckt->CKTstate0 + here->HICUMvrth),1,&ichk6);	call_part_2	Passes stored HICUMvrth state 0, LIM_TOL=1, and &ichk6.	None.
hicum2	src/spicelib/devices/hicum2/hicumL2.cpp	0c36cc5ad0d2d586c33faf9e5d53e0b1a28998c0d9dfa404b80b6222f9eb2165	Line 1784	                }	guard_close	Closes self-heating block }.	None.
osdi_callback	src/osdi/osdicallbacks.c	6ced3ad3656826b172f9749145c0ddfc02272649f51cec6eb35dfd57f1073613	Line 78	double osdi_limitlog(bool init, bool *check, double vnew, double vold,	wrapper_header_1	Declares function double osdi_limitlog(bool init, bool *check, double vnew, double vold,	None.
osdi_callback	src/osdi/osdicallbacks.c	6ced3ad3656826b172f9749145c0ddfc02272649f51cec6eb35dfd57f1073613	Line 79	                     double LIM_TOL) {	wrapper_header_2	Declares parameter double LIM_TOL).	None.
osdi_callback	src/osdi/osdicallbacks.c	6ced3ad3656826b172f9749145c0ddfc02272649f51cec6eb35dfd57f1073613	Line 80	  if (init) {	init_guard_1	Checks if (init) {	No device-family selfheat guard in wrapper; checks init boolean.
osdi_callback	src/osdi/osdicallbacks.c	6ced3ad3656826b172f9749145c0ddfc02272649f51cec6eb35dfd57f1073613	Line 81	    *check = true;	init_guard_2	Sets *check = true;	None.
osdi_callback	src/osdi/osdicallbacks.c	6ced3ad3656826b172f9749145c0ddfc02272649f51cec6eb35dfd57f1073613	Line 82	    return 0.0;	init_guard_3	Returns 0.0 when init is true.	Returns early before calling DEVlimitlog when init is true.
osdi_callback	src/osdi/osdicallbacks.c	6ced3ad3656826b172f9749145c0ddfc02272649f51cec6eb35dfd57f1073613	Line 83	  }	init_guard_4	Closes init block }.	None.
osdi_callback	src/osdi/osdicallbacks.c	6ced3ad3656826b172f9749145c0ddfc02272649f51cec6eb35dfd57f1073613	Line 84	  int icheck = 0;	local_var	Declares int icheck = 0;	None.
osdi_callback	src/osdi/osdicallbacks.c	6ced3ad3656826b172f9749145c0ddfc02272649f51cec6eb35dfd57f1073613	Line 85	  double res = DEVlimitlog(vnew, vold, LIM_TOL, &icheck);	call_execution	Executes double res = DEVlimitlog(vnew, vold, LIM_TOL, &icheck);	Calls DEVlimitlog with generic arguments.
osdi_callback	src/osdi/osdicallbacks.c	6ced3ad3656826b172f9749145c0ddfc02272649f51cec6eb35dfd57f1073613	Line 86	  *check = icheck != 0;	check_update	Updates *check = icheck != 0;	None.
osdi_callback	src/osdi/osdicallbacks.c	6ced3ad3656826b172f9749145c0ddfc02272649f51cec6eb35dfd57f1073613	Line 87	  return res;	wrapper_return	Returns res;	None.
