question	disposition	evidence
execution	complete	Exactly one native-ngspice 46 invocation; rc 0; 7.748 s; no retry or timeout.
raw_structure	verified	849 vectors x 2284 points; 15512928-byte payload; all stored doubles finite; strictly increasing 0-to-4 ns time.
stage1_behavior	measured	10 differential crossings over 2-to-4 ns; mean same-direction period 400.004 ps, consistent with divide by two.
stage2_behavior	measured	27 differential crossings over 2-to-4 ns; differential -0.559743..+0.560222 V; common mode 1.330887..1.477304 V.
stage2_amplitude_screen	measured	All 26 sign intervals reach at least 0.3 V absolute differential amplitude.
clean_div4_baseline	verified	5 GHz input gives 1.25 GHz output, 800 ps period, 400 ps differential crossing cadence; generic closed-window count 5, maximum 6.
excess_crossings	provisional	At least 21 crossings above the clean closed-window maximum; no exact ideal phase assigned.
direct_v5_to_v5_compatibility	not-established	Second-stage output contains full-amplitude extra differential reversals.
engineering_disposition	fail	Execution succeeded, but the direct-cascade diagnostic did not establish a usable divide-by-four result.
specification_result	not-evaluated	No applicable specification disposition is made from this diagnostic.
signoff	not-evaluated	No human signoff, foundry approval, or tape-out-readiness claim.
