block	port	direction	source_sha256	source_line	proposed_top_net	disposition	literal_evidence
p1_noise_gen	RAW_NOISE_P	out	168839d8b0f3b721a46d8336f5932faaaa4cf6bcc166ba626f817b45892b905a	14	raw_noise_p	INTERNAL_NAME_MATCH	C {devices/opin.sym} 200 -80 0 0 {name=p1 lab=RAW_NOISE_P}
p1_noise_gen	RAW_NOISE_N	out	168839d8b0f3b721a46d8336f5932faaaa4cf6bcc166ba626f817b45892b905a	15	raw_noise_n	INTERNAL_NAME_MATCH	C {devices/opin.sym} -200 -80 0 0 {name=p2 lab=RAW_NOISE_N}
p1_noise_gen	VCC	inout	168839d8b0f3b721a46d8336f5932faaaa4cf6bcc166ba626f817b45892b905a	16	NOISE_GEN_VCC	EXTERNAL_PORT	C {devices/iopin.sym} 0 -180 0 0 {name=p3 lab=VCC}
p1_noise_gen	VSS	inout	168839d8b0f3b721a46d8336f5932faaaa4cf6bcc166ba626f817b45892b905a	17	NOISE_GEN_VSS	EXTERNAL_PORT	C {devices/iopin.sym} 0 150 0 0 {name=p4 lab=VSS}
p1_noise_gen	VB1	in	168839d8b0f3b721a46d8336f5932faaaa4cf6bcc166ba626f817b45892b905a	18	vb1_gen	DECISION_REQUIRED	C {devices/ipin.sym} -250 0 0 0 {name=p5 lab=VB1}
p1_noise_gen	VB2	in	168839d8b0f3b721a46d8336f5932faaaa4cf6bcc166ba626f817b45892b905a	19	vb2_gen	DECISION_REQUIRED	C {devices/ipin.sym} 250 0 0 0 {name=p6 lab=VB2}
p1_noise_gen	IE	inout	168839d8b0f3b721a46d8336f5932faaaa4cf6bcc166ba626f817b45892b905a	20	ie_gen	DECISION_REQUIRED	C {devices/iopin.sym} 0 80 0 0 {name=p7 lab=IE}
p1_noise_amp	NOISE_AMP_P	out	8bc1d588bced233fa8c57d9ab8623456d09a981471761f50b558268c8d915107	14	noise_amp_p	INTERNAL_ARCHITECTURE_MATCH	C {devices/opin.sym} 400 -100 0 0 {name=p1 lab=NOISE_AMP_P}
p1_noise_amp	NOISE_AMP_N	out	8bc1d588bced233fa8c57d9ab8623456d09a981471761f50b558268c8d915107	15	noise_amp_n	INTERNAL_ARCHITECTURE_MATCH	C {devices/opin.sym} 400 100 0 0 {name=p2 lab=NOISE_AMP_N}
p1_noise_amp	RAW_NOISE_P	in	8bc1d588bced233fa8c57d9ab8623456d09a981471761f50b558268c8d915107	16	raw_noise_p	INTERNAL_NAME_MATCH	C {devices/ipin.sym} -300 -100 0 0 {name=p3 lab=RAW_NOISE_P}
p1_noise_amp	RAW_NOISE_N	in	8bc1d588bced233fa8c57d9ab8623456d09a981471761f50b558268c8d915107	17	raw_noise_n	INTERNAL_NAME_MATCH	C {devices/ipin.sym} -300 100 0 0 {name=p4 lab=RAW_NOISE_N}
p1_noise_amp	VCC	inout	8bc1d588bced233fa8c57d9ab8623456d09a981471761f50b558268c8d915107	18	NOISE_AMP_VCC	EXTERNAL_PORT	C {devices/iopin.sym} 0 -220 0 0 {name=p5 lab=VCC}
p1_noise_amp	VSS	inout	8bc1d588bced233fa8c57d9ab8623456d09a981471761f50b558268c8d915107	19	NOISE_AMP_VSS	EXTERNAL_PORT	C {devices/iopin.sym} 0 280 0 0 {name=p6 lab=VSS}
p1_comparator	PBIT_OUT	out	ae3c87816fc0c56bb49da6e159e0d7faa56f73c24fe180dc977ef1e8a9bdd209	13	PBIT_OUT	EXTERNAL_PORT	C {devices/opin.sym} 560 -140 0 0 {name=p1 lab=PBIT_OUT}
p1_comparator	PBIT_RAW	out	ae3c87816fc0c56bb49da6e159e0d7faa56f73c24fe180dc977ef1e8a9bdd209	14	PBIT_RAW	EXTERNAL_PORT	C {devices/opin.sym} 500 0 0 0 {name=p2 lab=PBIT_RAW}
