item	status	evidence	boundary
source_deck_v1	reserved	four exact 2284-sample waveform files; unsupported PWL FILE syntax	no simulation invoked
source_deck_v2	accepted	filesource decks plus two exact 2284-row time-p-n files	zero-source-impedance ideal drive
failed_unloaded_invocation	completed_then_harness_failed	rc 0 raw c954e868; tuple-unpack crash before loaded	original runner and traceback absent from sealed directory
restarted_unloaded_invocation	completed	rc 0 raw 456aa04d	unauthorized duplicate of completed unloaded side
loaded_invocation	completed	rc 0 raw 2f2010d2	gated on restarted unloaded raw
runtime_structure	verified	429x2069 unloaded and 429x2009 loaded; exact finite monotonic payloads	no waveform or circuit conclusion
waveform_analysis	verified	2-4 ns raw recount: unloaded IN/OUT 10/5, loaded IN/OUT 10/30 crossings; zero exact-zero samples	ideal zero-source-impedance observation only; no causal or gate conclusion
correction_v2	reserved	three-invocation chronology correct; preservation scope overretracted	superseded by V3
correction_v3	accepted	30 bound V1-V2 files rehashed; exact retry-authority scope	no waveform or circuit claim
p1_gate	running	waveform facts published for engineering review	no compatibility, signoff, or tape-out-readiness claim
