phase	attempt	disposition	published_evidence
syntax	V1	superseded by create-exclusive V2 packaging; retained unchanged	evidence/build/NGSPICE46-VBIC-MNA-SNAPSHOT-PROBE-V3-SYNTAX-V1.log
link	V1	interrupted before a final log; no V1 file exists	evidence/build/NGSPICE46-VBIC-MNA-SNAPSHOT-PROBE-V3-LINK-V2.log
link	V2	superseded because raw provenance was overwritten in its final rerun	evidence/build/NGSPICE46-VBIC-MNA-SNAPSHOT-PROBE-V3-LINK-V2.log
link	V3	failed partial retained in the design workspace; no final V3 log exists	evidence/build/NGSPICE46-VBIC-MNA-SNAPSHOT-PROBE-V3-LINK-V4.log
runtime	V1	harness size-parser defect after both paired invocations completed; no final V1 log exists	evidence/runtime/NGSPICE46-VBIC-MNA-SNAPSHOT-PROBE-V3-RUNTIME-V4.log
runtime	V2	binary payload was tokenized as text; counts invalid	evidence/runtime/NGSPICE46-VBIC-MNA-SNAPSHOT-PROBE-V3-RUNTIME-V2.log
runtime	V3	parser consumed beyond the Binary marker and reported a zero-byte payload	evidence/runtime/NGSPICE46-VBIC-MNA-SNAPSHOT-PROBE-V3-RUNTIME-V3.log
residual	V1	b[100] parenthetical printed the residual decimal; TSVs remained correct	evidence/analysis/NGSPICE46-VBIC-MNA-SNAPSHOT-PROBE-V3-RESIDUAL-V1.log
residual	V2	scale and fsum-to-Decimal delta were hardcoded incorrectly	evidence/analysis/NGSPICE46-VBIC-MNA-SNAPSHOT-PROBE-V3-RESIDUAL-V2.log
eqmap_patch	V1	rejected: separate diagnostic predicate and hardcoded snapshot id did not preserve the accepted event trigger	evidence/eqmap/NGSPICE46-VBIC-MNA-SNAPSHOT-PROBE-V3-EQMAP-PATCH-V1.patch
eqmap_patch	V2	rejected: retained the invalid trigger/id structure	evidence/eqmap/NGSPICE46-VBIC-MNA-SNAPSHOT-PROBE-V3-EQMAP-PATCH-V2-AUDIT.log
eqmap_patch	V3	rejected: retained the invalid trigger/id structure	evidence/eqmap/NGSPICE46-VBIC-MNA-SNAPSHOT-PROBE-V3-EQMAP-PATCH-V3-AUDIT.log
eqmap_audit	V1	superseded: patch-shape recount convention was incomplete	evidence/eqmap/NGSPICE46-VBIC-MNA-SNAPSHOT-PROBE-V3-EQMAP-PATCH-V4-AUDIT.log
eqmap_audit	V2	superseded: patch-shape count used a mismatched line convention	evidence/eqmap/NGSPICE46-VBIC-MNA-SNAPSHOT-PROBE-V3-EQMAP-PATCH-V4-AUDIT-V2.log
eqmap_syntax	V1	superseded: report measured its own file before close	evidence/eqmap/NGSPICE46-VBIC-MNA-SNAPSHOT-PROBE-V3-EQMAP-PATCH-V4-APPLY-SYNTAX-V1.log
eqmap_syntax	V2	superseded: correction embedded a future UTC label	evidence/eqmap/NGSPICE46-VBIC-MNA-SNAPSHOT-PROBE-V3-EQMAP-PATCH-V4-APPLY-SYNTAX-V2.log
eqmap_object	V1	superseded: lowercase raw filenames did not match uppercase report lookups	evidence/eqmap/NGSPICE46-VBIC-MNA-SNAPSHOT-PROBE-V3-EQMAP-PATCH-V4-OBJECT-V1.log
eqmap_link	V1	all links returned zero, but the manifest check compared hashes instead of paths; no final log	evidence/eqmap/NGSPICE46-VBIC-MNA-SNAPSHOT-PROBE-V3-EQMAP-PATCH-V4-LINK-V2.log
