assertion_id	file	hunk	record_class	base_line	mod_line	literal_or_digest	disposition
R01_src_include_ngspice_smpdefs.h	src/include/ngspice/smpdefs.h	-	header			--- a/src/include/ngspice/smpdefs.h	accepted
R02_src_include_ngspice_smpdefs.h	src/include/ngspice/smpdefs.h	-	header			+++ b/src/include/ngspice/smpdefs.h	accepted
R03_src_include_ngspice_smpdefs.h	src/include/ngspice/smpdefs.h	@@ -84,6 +84,16 @@	hunk	84	84	@@ -84,6 +84,16 @@	accepted
R04_src_include_ngspice_smpdefs.h	src/include/ngspice/smpdefs.h	@@ -84,6 +84,16 @@	context	84	84	int SMPzeroRow(SMPmatrix *Matrix, int Row);	accepted
R05_src_include_ngspice_smpdefs.h	src/include/ngspice/smpdefs.h	@@ -84,6 +84,16 @@	context	85	85	void SMPconstMult(SMPmatrix *, double);	accepted
R06_src_include_ngspice_smpdefs.h	src/include/ngspice/smpdefs.h	@@ -84,6 +84,16 @@	context	86	86	void SMPmultiply(SMPmatrix *, double *, double *, double *, double *);	accepted
R07_src_include_ngspice_smpdefs.h	src/include/ngspice/smpdefs.h	@@ -84,6 +84,16 @@	add		87	/* [MNA_SNAPSHOT] read-only diagnostic snapshot helper; implemented in the	accepted
R08_src_include_ngspice_smpdefs.h	src/include/ngspice/smpdefs.h	@@ -84,6 +84,16 @@	add		88	 * effective KLU wrapper (src/maths/KLU/klusmp.c). Emits to stderr with %a	accepted
R09_src_include_ngspice_smpdefs.h	src/include/ngspice/smpdefs.h	@@ -84,6 +84,16 @@	add		89	 * precision; no matrix/RHS/state writes, no element creation, no	accepted
R10_src_include_ngspice_smpdefs.h	src/include/ngspice/smpdefs.h	@@ -84,6 +84,16 @@	add		90	 * arithmetic recomputation. size is the largest valid equation index	accepted
R11_src_include_ngspice_smpdefs.h	src/include/ngspice/smpdefs.h	@@ -84,6 +84,16 @@	add		91	 * (ckt->CKTmaxEqNum - 1); indices 1..size inclusive are emitted. Returns	accepted
R12_src_include_ngspice_smpdefs.h	src/include/ngspice/smpdefs.h	@@ -84,6 +84,16 @@	add		92	 * 0 on structural completeness (status=complete), non-zero on	accepted
R13_src_include_ngspice_smpdefs.h	src/include/ngspice/smpdefs.h	@@ -84,6 +84,16 @@	add		93	 * failure/partial (codes documented in klusmp.c). phase must be exactly	accepted
R14_src_include_ngspice_smpdefs.h	src/include/ngspice/smpdefs.h	@@ -84,6 +84,16 @@	add		94	 * "prefactor", "postsolve", or "abort". */	accepted
R15_src_include_ngspice_smpdefs.h	src/include/ngspice/smpdefs.h	@@ -84,6 +84,16 @@	add		95	int SMPsnapshotMNA( SMPmatrix *, double *, int, int, const char *,	accepted
R16_src_include_ngspice_smpdefs.h	src/include/ngspice/smpdefs.h	@@ -84,6 +84,16 @@	add		96	                    long, int, int, double, long );	accepted
R17_src_include_ngspice_smpdefs.h	src/include/ngspice/smpdefs.h	@@ -84,6 +84,16 @@	context	87	97		accepted
