metric_name	value	evidence_boundary
ith_rhs_decomposition_marker_count	1	Exact native log
rhs_current_isfinite	0	Post-model and post-expression; pre-stamp
Ith_isfinite	0	Post-model; pre-stamp local operand
derivative_output_finite_count	1	16 printed Ith derivative outputs
derivative_output_nonfinite_count	15	16 printed Ith derivative outputs
voltage_operand_finite_count	16	16 printed voltage operands
voltage_operand_nonfinite_count	0	16 printed voltage operands
product_finite_count	1	16 diagnostic derivative-times-voltage products
product_nonfinite_count	15	16 diagnostic derivative-times-voltage products
fully_finite_pair	Vbex	Ith_Vbex=-0x0p+0; Vbex=0x1.0deaa47bfc9a7p+0; product=-0x0p+0
cumulative_finite_count	0	17 diagnostic reconstruction values cum00 through cum16
cumulative_nonfinite_count	17	17 diagnostic reconstruction values cum00 through cum16; cum00=-Ith already non-finite
site_label	STAMP_ITH_RHS_DECOMP@1472	Historical source-site label; not current applied-source line
current_rhs_expression_lines	1488-1493	Final applied source e8939ea1
current_diagnostic_lines	1494-1566	Final applied source e8939ea1
current_rhs_stamp_line	1569	Final applied source e8939ea1; unchanged stamp statement
upstream_cause	UNKNOWN	One diagnostic run does not identify the upstream model state or arithmetic cause
physical_units	UNKNOWN	Diagnostic values are printed without established unit authority
circuit_status	UNKNOWN	Diagnostic evidence is not a circuit specification result
