assertion_id	source_file	source_sha256	physical_line	source_literal	guard_containment	category	observed_values	upstream_v4_assertion	provenance_class
BRIDGE_BASE	vbicload.c	ee6b2aa917c57a79d1694f885fa9b2ac593c5750da92b910ed2bae1eacdb27c9	N/A	accepted applied base vbicload.c (V3 stamp diagnostics retained byte-for-byte)	N/A	bridge	base lines=4279	V3 stamp patch 8a67afa2 applied	bridge_row
BRIDGE_PATCH	vbicload.c	173babeff5890b9c08e9b9d7c7bcc183eda52cc9692c6ac21a2fb87a9f8cace9	N/A	NGSPICE46-VBIC-ITH-RHS-DECOMP-DIAGNOSTIC-V1.patch (SHA-256 173babeff5890b9c08e9b9d7c7bcc183eda52cc9692c6ac21a2fb87a9f8cace9, 9953 B)	N/A	bridge	numstat 73 additions / 0 deletions; GNU patch dry-run exit 0; git apply --check exit 0; fresh apply byte-identical=True	applies to base ee6b2aa9	bridge_row
BRIDGE_APPLIED	vbicload.c	e8939ea16fc58d8998b495e7f5f524b1a272b164b43ae2e9771de224ce4f97ff	N/A	final applied source vbicload_ith_rhs_decomp_v1.c	N/A	bridge	applied lines=4352	base + patch	bridge_row
BRIDGE_SYNTAX	vbicload.c	e8939ea16fc58d8998b495e7f5f524b1a272b164b43ae2e9771de224ce4f97ff	N/A	syntax-only compile (gcc -fsyntax-only, -std=gnu11 -fopenmp, ngspice includes, config.h from accepted build)	N/A	bridge	exit 0; no vbicload-specific error lines	no configured build / no executable / no simulation	bridge_row
BRIDGE_GUARD	vbicload.c	e8939ea16fc58d8998b495e7f5f524b1a272b164b43ae2e9771de224ce4f97ff	N/A	new marker block inserted between unchanged rhs_current assignment (base 1488-1493) and unchanged RHS stamp (base 1496); inside selfheat block; gated by stamp_diag_active && !ith_rhs_decomp_printed && !isfinite(rhs_current); reads only local operands	N/A	bridge	no matrix/RHS/state/model memory reads; no writes except ith_rhs_decomp_printed	requirement 1-5	bridge_row
ADD_001	vbicload.c	e8939ea16fc58d8998b495e7f5f524b1a272b164b43ae2e9771de224ce4f97ff	1494	                /* [VBIC_ITH_RHS_DECOMP_DIAGNOSTIC] read-only decomposition of the Ith rhs_current expression (target-only, first-occurrence) */	selfheat block; target-gated first-occurrence block (inserted after base line 1493)	comment	/* [VBIC_ITH_RHS_DECOMP_DIAGNOSTIC] read-only decomposition of the Ith rhs_curre	added line 1 of 72	added_statement
ADD_002	vbicload.c	e8939ea16fc58d8998b495e7f5f524b1a272b164b43ae2e9771de224ce4f97ff	1495	                static bool ith_rhs_decomp_printed = FALSE;	selfheat block; target-gated first-occurrence block (inserted after base line 1493)	declaration	static bool ith_rhs_decomp_printed = FALSE;	added line 2 of 72	added_statement
ADD_003	vbicload.c	e8939ea16fc58d8998b495e7f5f524b1a272b164b43ae2e9771de224ce4f97ff	1496	                if (stamp_diag_active && !ith_rhs_decomp_printed && !isfinite(rhs_current)) {	selfheat block; target-gated first-occurrence block (inserted after base line 1493)	guard	if (stamp_diag_active && !ith_rhs_decomp_printed && !isfinite(rhs_current)) {	added line 3 of 72	added_statement
ADD_004	vbicload.c	e8939ea16fc58d8998b495e7f5f524b1a272b164b43ae2e9771de224ce4f97ff	1497	                    fprintf(stderr, "\n[VBIC_ITH_RHS_DECOMP_DIAGNOSTIC] Site: STAMP_ITH_RHS_DECOMP@1472 | rhs_current: %a (isfinite=%d) | Ith: %a (isfinite=%d)\n",	selfheat block; target-gated first-occurrence block (inserted after base line 1493)	fprintf	fprintf(stderr, "\n[VBIC_ITH_RHS_DECOMP_DIAGNOSTIC] Site: STAMP_ITH_RHS_DECOMP@1	added line 4 of 72	added_statement
ADD_005	vbicload.c	e8939ea16fc58d8998b495e7f5f524b1a272b164b43ae2e9771de224ce4f97ff	1498	                            rhs_current, isfinite(rhs_current) ? 1 : 0, Ith, isfinite(Ith) ? 1 : 0);	selfheat block; target-gated first-occurrence block (inserted after base line 1493)	other	rhs_current, isfinite(rhs_current) ? 1 : 0, Ith, isfinite(Ith) ? 1 : 0);	added line 5 of 72	added_statement
ADD_006	vbicload.c	e8939ea16fc58d8998b495e7f5f524b1a272b164b43ae2e9771de224ce4f97ff	1499	                    fprintf(stderr, "  pair 01 Vrth  | deriv %a (isfinite=%d) | volt %a (isfinite=%d) | product %a (isfinite=%d)\n",	selfheat block; target-gated first-occurrence block (inserted after base line 1493)	fprintf	fprintf(stderr, "  pair 01 Vrth  | deriv %a (isfinite=%d) | volt %a (isfinite=%d	added line 6 of 72	added_statement
ADD_007	vbicload.c	e8939ea16fc58d8998b495e7f5f524b1a272b164b43ae2e9771de224ce4f97ff	1500	                            Ith_Vrth, isfinite(Ith_Vrth) ? 1 : 0, Vrth, isfinite(Vrth) ? 1 : 0, Ith_Vrth*Vrth, isfinite(Ith_Vrth*Vrth) ? 1 : 0);	selfheat block; target-gated first-occurrence block (inserted after base line 1493)	other	Ith_Vrth, isfinite(Ith_Vrth) ? 1 : 0, Vrth, isfinite(Vrth) ? 1 : 0, Ith_Vrth*Vrt	added line 7 of 72	added_statement
ADD_008	vbicload.c	e8939ea16fc58d8998b495e7f5f524b1a272b164b43ae2e9771de224ce4f97ff	1501	                    fprintf(stderr, "  pair 02 Vbei  | deriv %a (isfinite=%d) | volt %a (isfinite=%d) | product %a (isfinite=%d)\n",	selfheat block; target-gated first-occurrence block (inserted after base line 1493)	fprintf	fprintf(stderr, "  pair 02 Vbei  | deriv %a (isfinite=%d) | volt %a (isfinite=%d	added line 8 of 72	added_statement
ADD_009	vbicload.c	e8939ea16fc58d8998b495e7f5f524b1a272b164b43ae2e9771de224ce4f97ff	1502	                            Ith_Vbei, isfinite(Ith_Vbei) ? 1 : 0, Vbei, isfinite(Vbei) ? 1 : 0, Ith_Vbei*Vbei, isfinite(Ith_Vbei*Vbei) ? 1 : 0);	selfheat block; target-gated first-occurrence block (inserted after base line 1493)	other	Ith_Vbei, isfinite(Ith_Vbei) ? 1 : 0, Vbei, isfinite(Vbei) ? 1 : 0, Ith_Vbei*Vbe	added line 9 of 72	added_statement
ADD_010	vbicload.c	e8939ea16fc58d8998b495e7f5f524b1a272b164b43ae2e9771de224ce4f97ff	1503	                    fprintf(stderr, "  pair 03 Vbci  | deriv %a (isfinite=%d) | volt %a (isfinite=%d) | product %a (isfinite=%d)\n",	selfheat block; target-gated first-occurrence block (inserted after base line 1493)	fprintf	fprintf(stderr, "  pair 03 Vbci  | deriv %a (isfinite=%d) | volt %a (isfinite=%d	added line 10 of 72	added_statement
ADD_011	vbicload.c	e8939ea16fc58d8998b495e7f5f524b1a272b164b43ae2e9771de224ce4f97ff	1504	                            Ith_Vbci, isfinite(Ith_Vbci) ? 1 : 0, Vbci, isfinite(Vbci) ? 1 : 0, Ith_Vbci*Vbci, isfinite(Ith_Vbci*Vbci) ? 1 : 0);	selfheat block; target-gated first-occurrence block (inserted after base line 1493)	other	Ith_Vbci, isfinite(Ith_Vbci) ? 1 : 0, Vbci, isfinite(Vbci) ? 1 : 0, Ith_Vbci*Vbc	added line 11 of 72	added_statement
ADD_012	vbicload.c	e8939ea16fc58d8998b495e7f5f524b1a272b164b43ae2e9771de224ce4f97ff	1505	                    fprintf(stderr, "  pair 04 Vcei  | deriv %a (isfinite=%d) | volt %a (isfinite=%d) | product %a (isfinite=%d)\n",	selfheat block; target-gated first-occurrence block (inserted after base line 1493)	fprintf	fprintf(stderr, "  pair 04 Vcei  | deriv %a (isfinite=%d) | volt %a (isfinite=%d	added line 12 of 72	added_statement
