metric_name	value	description
raw_file_sha256	fe2a0f495bf85b9adda7382372affcfd3bd4fc92b8af812c02723f1783ac37fa	SHA-256 of retained binary raw dataset.
raw_file_size_bytes	7857477	Total byte size.
header_size_bytes	18789	ASCII header through and including Binary marker.
header_sha256	1abcbae14f366e6ed06ead700cab24d467cc13abc98087b19a9f1477c430234e	SHA-256 of raw header.
payload_size_bytes	7838688	IEEE-754 double-precision binary payload size.
payload_sha256	26c62c1942b552ae609f6eb57e9746ee30ad77b7a5c6e433c118ddd965de3de7	SHA-256 of binary payload.
preceding_run_payload_relation	BYTE_IDENTICAL	Payload matches preceding published Vrth-transition V2 run.
variable_count	429	Real variables recorded per point.
point_count	2284	Transient time points.
total_scalar_count	979836	variable_count multiplied by point_count.
finite_scalar_count	979836	Finite scalars from direct parse.
nonfinite_scalar_count	0	NaN or infinity scalars from direct parse.
time_start_s	0.00000000000000000e+00	First variable-0 value.
time_end_s	4.00000000000000025e-09	Last variable-0 value.
time_strictly_monotonic_boolean	TRUE	Every parsed time exceeds predecessor.
engineering_pass_from_raw_finiteness	NOT_ESTABLISHED	Finite saved vectors do not override internal diagnostics or establish circuit status.
