question	disposition	evidence
control_execution	complete	Exactly one native-ngspice 46 invocation; rc 0; 2.274 s; no retry or timeout.
experiment_execution	complete	Exactly one native-ngspice 46 invocation; rc 0; 6.143 s; no retry or timeout.
control_raw_structure	verified	429 vectors x 2284 points; 7838688-byte payload; finite stored doubles; strictly increasing 0-to-4 ns time.
experiment_raw_structure	verified	849 vectors x 2284 points; 15512928-byte payload; finite stored doubles; strictly increasing 0-to-4 ns time.
controlled_delta	verified	All electrical deck lines except the XSTAGE2 instance are identical; source, stimuli, settings, models, and executable are held fixed.
stage1_crossings	measured	Control and experiment each have 10 crossings over 2-to-4 ns and approximately 400 ps mean same-direction period.
stage1_peak_to_peak	measured	Control 1.310150093 V; experiment 1.153711331 V; reduction 0.156439 V or 11.940522%.
stage1_crossing_slope	measured	Mean absolute bracketing-sample slope changes from 1.391744683e11 to 9.123610262e9 V/s, a 93.444480% reduction.
stage1_load_effect	supported	Under this controlled diagnostic, adding XSTAGE2 causes the measured stage-one amplitude and crossing-slope reductions.
stage2_behavior	measured	Experiment has 27 stage-two crossings over 2-to-4 ns; mean same-direction period 144.654 ps.
stage2_reversal_cause	not-established	The matched pair does not establish that the measured stage-one degradation causes the stage-two reversals.
direct_v5_to_v5_compatibility	not-established	No usable divide-by-four compatibility conclusion follows from this load-isolation diagnostic.
specification_result	not-evaluated	No explicit specification limit is judged by this diagnostic.
engineering_gate	not-advanced	The P1 gate remains running; this evidence does not decide that it passed.
signoff	not-evaluated	No human signoff, foundry approval, or tape-out-readiness claim.
